0,1
Comment,"""Rounded Qtz, Alteration increasing downhole"""
Comments,ROUNDED QTZ FRAGMENTS TRANSPORTED?
COMMENTS,rounded qtz grains
Comment,"""ROUNDED QTZ, NO FELDSPAR PHENO'S"""
Comments,ROUNDED QUARTS GRAINS IN MATRIX
Comments,ROUNDED QUARTZ AND CLAYS
Comment,"""rounded quartz eyes, less abundant subhedral sericite altered phenocrysts"""
Comments,rounded qz
Lith_Desc,rounded qzgrains
Comment,"""ROUNDED QZ PHENOS 1-8mm, PALE YE WISPY INTERGROWN SE/CARB?"""
COMMENTS,rounded rock frags
Comments,ROUNDED SAND/GRAVEL - TRANSPORTED - BASAL DEPOSITS IN PALAEODRAINAGE
Comment,Rounded sdst and qtz in feo alt sap clays kadinitic sap clays w/ slst and sdst chips. Poss goss at 27m.
Comment,Rounded sdst and slst in saprolite clays
Comment,"""ROUNDED SI AND CLT CLASTS UP TO 15mm, PERVASIVE SI-SE ALT WITH CLT SPECKS"""
Comment,ROUNDED SI CLASTS IN CLT MATRIX
Comment,"""ROUNDED SI CLASTS IN PATCHY SE-CLT MATRIX, FOLIATION DEFINED BY CLT AND PY VEINING"""
Comment,ROUNDED SI GRAINS
Comment,"""rounded silica and chlorite clasts, alt bands, some QZ, specks of magnetite"""
COMMENTS,rounded Tertiary gravels
Comments,Rounded tertiary gravels + clays
COMMENTS,Rounded Tertiary ironstone gravels
COMMENTS,Rounded Tertiary ironstone gravels + sand
Comment,ROUNDED TO SUB ROUNDED AMY 1-3mm MINOR QBVN
Comment,"""Rounded to subrounded rarely ca altered QE, ca altered amygdales"""
COMMENTS,Rounded (transported?)
COMMENTS,Rounded transported coarse cutanous iron nodules
Comments,Rounded- transported Fe pisoliths
Comment,Rounded transported pebbles in clay grading into sap.clay.
COMMENTS,Rounded transported pisoliths
COMMENTS,Rounded-unconsolidated pisolith scree
COMMENTS,Rounded-unconsolidated pisolith scree -silcretized
COMMENTS,Round pisolith gravel
Comments,"""round , spotty text, possibly alt product of amphibole"""
Comment,"""R, PL, TO OC COL, RSP CLAYS."""
COMMENTS,R? = POSS X?
Description,RQD gradually increases over this interval
Comments,RQD% improving
Comments,"""RQD% improving, minor friable intervals present"""
Comments,RQD mod-high
Comment,Rreturn to fresh rock
Lith_Desc,Rr fe frags
Lith_Desc,Rr Fe frags
Lith_Desc,Rr ferrug frags
Lith_Desc,Rr Fldsp & mafic chips
Lith_Desc,Rr mg Mafic chips
Lith_Desc,Rr mg rock
Lith_Desc,Rr qz grains & lt br kaolin
Lith_Desc,Rr qz grains & pink kaolin
Lith_Desc,Rr qz grains & wh kaolin
Lith_Desc,Rr qz grains & yb kaolin
Lith_Desc,Rr qz grains & ye br kaolin
Comments,RR-SR pisolites + 20% Lump
LithDescription,Rrz
PRIM_DESCP,Rsc/Rsl
Gen_Desc1,RSED
PRIM_DESCP,Rsl
PRIM_DESCP,RsmGgb?
PRIM_DESCP,Rsp
PRIM_DESCP,Rsp?
Comment_2,RSP + 5%RSP-SEDIMENT-BEDDED.
COMMENTS,RSP = AA
COMMENTS,RSP? + AA
description,RSP = ALTN?
PRIM_DESCP,Rspamf
COMMENTS,RSP = B & G CLYS = EX U
Comment,RSP = B & G CLYS = EX U (POSS SCH SHD U?)
Comments,RSP = BG FE LATERATIZED SSH?
Comments,RSP = BK SSH + MN
COMMENTS,RSP = BN FGN FIS HA SSH
Comment,"""rsp, bn, fow, u swelling oc col clays."""
Comment,RSP CLAYS
Comment,RSP CLAYS.
Comment,"""rsp clays, c, oc bn col."""
Comment,"""rsp, col pl, r, and oc. may be a m/m u"""
Comments,"rsp, col pl, r, and oc. may be a m/m u?"
Comments,RSP = CR FGN FIS HA AN? SSH
COMMENTS,RSP = CR FGN FIS SSH?
COMMENTS,RSP = CR FGN FIS SSH/SSL
Comments,RSP = CR FGN W FOL SSH/SSL
COMMENTS,RSP = EX GN U CYS
Comments,RSP = EX MV?
COMMENTS,RSP = EX MV?(SHD?)
description, RSP = EX SHD      
description,RSP = EX SHD SI U?
description,RSP = EX SHD U?
Comments,RSP = EX SSL
Comment,RSP = EX U
Comment,RSP = EX U?
COMMENTS,RSP (EX U?)
Comment,RSP = EX U (G CLYS)
description,RSP = EX U (HIGHLY SI & SHD?)
Comment,RSP = EX U (MINOR G CLAYS)
COMMENTS,RSP = EX U (POSS. SHD)
description, RSP = EX UTC?     
COMMENTS,RSP = FE FGN LAM SSH?
Comments,RSP = FGN FE MN FOL SSH (EX SBS?)
Comments,RSP? = FGN FIS LAM SSH/SSL?
COMMENTS,RSP = FGN IND SSH/SSL
COMMENTS,RSP = FGN SSH?
description,RSP = FOW
Comment,"""rsp, fow fis l oc to l p ssm or ssh."""
Comments,"rsp, fow fis l oc to l p ssm or ssh."
COMMENTS,RSP = FOW SSL??
COMMENTS,RSP = G & B CLYS = EX U
COMMENTS,RSP = GB CLYS = EX U CLYS
COMMENTS,RSP = G CLAYS = EX U
COMMENTS,RSP = G CLAYS & WX'D SHD U
PRIM_DESCP,RspGdn
PRIM_DESCP,RspGdn?
PRIM_DESCP,RspGgb
PRIM_DESCP,RspGgb?
PRIM_DESCP,RspGgn
PRIM_DESCP,RspGgn?
PRIM_DESCP,Rsp/Ggp
COMMENTS,RSP = GN EX U CYS
COMMENTS,RSP = GN SMECTITE CYS (EX U)
COMMENTS,RSP = GN SMECTITE (EX U)
Comments,RSP = GN U CYS
description,RSP = GOSSANOUS SHD U?
PRIM_DESCP,RSP/Gpp
PRIM_DESCP,RspGpx
PRIM_DESCP,RspGpx?
COMMENTS,RSP = GRT
description,RSP- GRT? S SE (CH +BT).
COMMENTS,RSP = G SMECTITE CLAYS = EX U
COMMENTS,RSP = G SMECTITE (EX U)
COMMENTS,RSP = G U CYS
Primary_Description,RspGum
Primary_Description,RspGum?
Comments,RSP = GY FGN FIS SSH
Comment,"""rsp, kh, lgn, fgn"""
Comments,RSP? = LAM SS?
Comment,"""rsp, l gn to pl col."""
Comment,"""rsp, l kh, fom, fgn m/u"""
PRIM_DESCP,Rspmaf
PRIM_DESCP,Rsp/maf
PRIM_DESCP,Rspmaf?
PRIM_DESCP,RspMaf
Comment_2,RSP-MAFIC? + CLAY.
Comment,rsp may be weath mv
Comments,rsp may be weath mv?
COMMENTS,RSP = M CYS??
Comments,RSP-MDO(?) ALTERATED
Comment,"""rsp, meta-ssh, fgn, phyllitic text, fis."""
Comment,"rsp, meta-ssh, fgn, phyllitic text, fis."
Comment,"""rsp, meta-uv gn/pl col."""
COMMENTS,RSP = MICA SCHIST (POSS. SHD U?)
COMMENTS,RSP = MINOR G CLYS = EX U
Comment,"""rsp, m/m ssm or m/u."""
Comment,"""rsp, m/m  ssm/ssh"""
Comment,"""rsp, mo r & gn, ,"""
PRIM_DESCP,RspMsc
Primary_Description,RspMsc?
Comment,RSP = MV
COMMENTS,RSP = MV?
Comments,RSP = MV???
description, RSP = MV? O       
Comments,RSP = MV? O ALT SAN?
PRIM_DESCP,Rsp/Ocm
PRIM_DESCP,Rsp/Ocy
PRIM_DESCP,Rsp/Ogv
Primary_Description,Rsp/Ohp
PRIM_DESCP,Rsp/Olt
PRIM_DESCP,Rsp/Osk
Comments,RSP O SSH = CR FGN FIS KA? SSH
COMMENTS,RSP = PALLID FGN FOL SSH
COMMENTS,RSP = POSS. ALTN. ZONE?
COMMENTS,"""RSP? = POSS. FE SSH?, QZ VN POSS. SHD?"""
Comment,rsp poss. mv altn ch
Comment,RSP = POSS TMSH?
COMMENTS,RSP = POSS V WX'DEX U?
COMMENTS,RSP = QZ CHL HEM SCHIST?
Comment,"""rsp r col ssm-ssh, rlc also bld clay."""
PRIM_DESCP,Rsp/Rcy
Comment_2,RSP+RCY.
COMMENTS,RSP & RCY = G SMECTITE & TMSH = SHD U
PRIM_DESCP,Rsp/Rhp
Comment,RSP & RLC = G SMECTITE (EX U)
PRIM_DESCP,Rsp/Rlt
Comment,"""rsp, r & oc col"""
Comment,"""rsp/rsr, col gn to pl, fow, chloritic, mv"""
Comment,"""rsp/rsr, fgn fom,chloritic, mvmcs"""
Comment,RSP/RSR MCS SHEARED MMV.
Comment,RSP & RSR = MV
Comments,RSP + RSR + RCY + MINOR MDO
COMMENTS,RSP & RSR = U
Comment,"""rsp/rsr, uv- fgn suggest of cum text, fow."""
Comment,"""rsp, r to gn, poss, mmv going from pevious hole. gw @ 24m."""
COMMENTS,RSP = SAN?
Comment_2,RSP-SCH/MAFIC/UMAFIC?
description,RSP = SCI & TMSH?
Primary_Description,Rsp/Sct
Comment_2,RSP-SED?? MOSTLY CLAY
COMMENTS,RSP = SHD EX U
description,RSP = SHD EX U ?
description,RSP = SHD EX U?
COMMENTS,RSP? = SHD HA SSH
COMMENTS,RSP = SHD MV?
description, RSP = SHD U?      
COMMENTS,RSP = SHD U
Comment,RSP = SHD U?
description, RSP = SHD U & SSH 
PRIM_DESCP,Rsp/Sif
Comment_2,RSP - SIF??
Comment_2,RSP SIF. d G SSH + MINOR RED BANDS.
description,RSP = SI FGN U?
description,RSP = SIL SHD MV?
Comment,RSP = SK?
Comment,RSP = SK? O SSL?
Comments,RSP = SS?
COMMENTS,RSP = SSH
COMMENTS,RSP = SSH?
Comment_2,RSP - SSH.
Comment_2,RSP-SSH
Comments,RSP? = SSH?
description, RSP = SSH O TMPH? 
Comments,RSP = SSH/SSM?(HOLE BLOWOUT @82m)
Comments,RSP = SSH/SSM? + MINOR SCI
Comment_2,RSP-SSH + WET PU CLAY.
COMMENTS,RSP = SSL
Comments,RSP = SSL?
Comment,RSP = SSL / SBS
COMMENTS,RSP = SSL/SSH?
Comment,RSP = SSL (VFG FIS LAM SAP)
description, RSP = SSM?        
Comments,RSP = SSM
Comments,RSP = SSM?
description, RSP = SSM? (AFTER 
Comment,"""rsp, ssm lgn to oc, doc 0.5m"""
Comment,"rsp, ssm lgn to oc, doc 0.5m"
Comment,"""rsp, ssm w aweak fol dev."""
Comment_2,RSP-S? TRACE EX PYRITE?
Comment,RSP = TMPH
Comment,RSP = TMPH?
description, RSP = TMPH ( EX   
Comments,RSP = TMPH ( EX UV?)
description, RSP = TMPH O SSL  
description, RSP = TMSH        
description, RSP = TMSH?       
COMMENTS,RSP = TMSH
Comment,RSP = TMSH?
description,RSP = TMSH (EX SHD U?)
Comment,RSP = TMSH (EX U??)
description,RSP = TMSH? (EX U?)
COMMENTS,RSP = TMSH (MOD. SI ALTERED SCHIST?)
description,RSP = TMSH O SHD EX U?
Comments,RSP = TMSH O U??
description,RSP = TMSH (SHD SCH EX U?)
COMMENTS,RSP = TMSH(SHDU?)
COMMENTS,RSP & TMSH = SHD U?
description,RSP = TMSH (SHD UTC?)
COMMENTS,RSP = U
COMMENTS,RSP = U?
COMMENTS,RSP = U CLYS
COMMENTS,RSP = U CLYS = EX U
PRIM_DESCP,rspumf
PRIM_DESCP,Rspumf
Primary_Description,Rspumf?
Comments,RSP = U/MV??
description,RSP-UPD PRIMARY CUMULATE TEXTURES PRESERVED
Comments,RSP = UTC
Comment,rsp- uv l gn col.
Comment,"""rsp, u w cum text - ukv or upd, non fol."""
Comment,"rsp, u w cum text - ukv or upd, non fol."
Primary_Description,RspVbs
PRIM_DESCP,Rsp/Vbs
PRIM_DESCP,RspVbs?
Comment,RSP? = V FERRUGINOUS W SILICIFIED SCHIST (POSS EX CHL SCHIST)
Primary_Description,RspVfx
PRIM_DESCP,Rsp/Vfx
PRIM_DESCP,RspVfx?
PRIM_DESCP,Rsp/Vqz
Comment_2,RSP - WET- SHEARED WITH QZ/CB STRINGERS+ALTN.
Comments,RSP-XSI HAS DK EX PY(?) SPOTS
COMMENTS,RSR = AA
Comments,RSR-MDO + L GY CLAYS
Comment_2,RSR-MMV + FINE QZ STRINGERS.
Comments,RSR/OX BEDROCK.EOH
Comment,RSR/RSP METM OR KOMB
Comment,RSR = SCH SHD U
Comment_2,RSR-SSH + RSP-SSH.
COMMENTS,RSR = U
Comment,RSR & U
Comment,"""RStill hard and siliceous, but tonalite texture no longer swamped out by alt. Minor SIEP Veins"""
Comment,r.strongly/se-streaked/foliated qz eye rhyadacite with dk gy chloritic streaks/patches throughout
Comments,RSU?
Comment,r to bl col sif.  qz vn mnr mn assoc.
Comment,r to c col rlm.
Comment,"""R TO GN COL RSP, M"""
Comment,R TO GN RSP CLAYS.
Comment,r to l gy sbs/ssh
Comment,r to l oc clays.
Comment,r to olive col pisolites.
Comment,"""R TO PL COL RSP, FGN, FOS,"""
Comment,"""r to pl col ssm-derived fom meta-ssh, san. ssh fow.  san/tmsh fom."""
Comment,"""r to w col ssm/ssh fom, ind,"""
PRIM_DESCP,R/U
PRIM_DESCP,R/U?
Comment,Rubber contam
Comments,Rubble comprising large clasts of Hem & H-G from a LG stockpile from hard rock mining in 1970's.
Comments,rubble; down hole cave and washed in material
Lith_Desc,"Rubble of Bif, Lat in soil"
Comments,rubble/scree with indurated clays
Lith_Desc,Rubble then indurated saprolite
Comments,Rubble zone of ferruginous sil with rock chips
Comments,"""rubbly core with clay in parts, limonite also present, regular quartz-carb veins in more comp core"""
Comments,rubbly indurated colluvial lag? hematitic
Lith_Desc,Rubbly laterite + soil
Comment,ruc?
description, RUC?              
Comments,RUC?
Comment,ruc? 29-31m
Comment,"""RUC, C COL, RLC OC COL. GW AT 30M."""
Comments,RUC = CHERT & CHERTY IR
Comments,RUC = FERRUGINOUS CHERT & IR
COMMENTS,RUC? = GRAVELLY IR & RLC
Comment,"""RUC, LBR, FGN, SILI, RX,"""
Comments,"RUC, LBR, FGN, SILI, RX,"
Comment,"""RUC L GN COL, RIR BN COL."""
Comment,ruc mas bn col fgn.
Comments,RUC? = MV? STR. SIL
COMMENTS,RUC = STRONGLY SHD U?
Comments,RUC WITH SPINIFEX TEXTURES PRESERVED
Comments,RUC(?) + XIR + D BR RCY
Comments,running pisolitic gravels
Lith_Desc,running Qas
Comments,running qtz sand cover
Comments,Running sand
Comments,Running sand dry low clay content
Comments,Running sand + Fe stone gravel
Comments,Running sands
COMMENTS,running sands below 2ndary profile
Comments,running sands (ds)
Comments,running sands prob contam(wet)
Comments,Running sand - Tertiary
Lith_Desc,running sand (ws)
Comments,running sand (ws) min Fe
Comments,Running tertiary sands
LithDescription,Rus
Primary Description,Rus   
LithDescription,Rusfcr
LithDescription,Ruslat
LithDescription,RusRrz
Comments,rusty brown chips
Comments,rusty brown clastic textured; matrix supported with pisolites andlaterite fragments in a ligh grey clayey matrix; drill surface is mottled rusty brown / whitish
Comments,Rusty brown grey weathered sediments; possible relic bedding; minor gritty zones.
Comments,"""rusty brown limonitic clay, puggy, sticky, probably represents weathered basalt"""
Comments,"""rusty brown, loose"""
Comments,rusty brown; polymictic; with laterite; few pisolite and highly weathered shale pebbles in a light brown clayish matrix; commonly well cemented but with few disaggregated areas
Comments,rusty brown puggy clay
Comments,rusty brown with round pisolites in a light orange tinted clay matrix; competent; few vugs; pisolites usually have reddish streak due to hematite
Comments,rusty clay
Comments,rusty coloration
Comments,rusty colour
Comments,rusty colouratio from Ferruginous alteration [strong]
Comments,rusty colouration
Comments,rusty coloured clays
Comments,rusty colour[wthrd sulfides]
Comments,rusty coulouration
comments,"""""""rusty"""" Fao/Usp contact."""
Comments,rusty indurated clays
Comments,rusty [iorn oxides]
Comments,rusty iron oxides
Comments,rusty powder
Comments,rusty quart vein
Comments,rusty quartz vein
Comments,"""Rusty, stained poor Qz"""
Comments,rusty to orange brown fine grained clastics; bedding evident at low angle to core axis; 
Comments,rusty to orange brown; hard; non magnetic; with frequent irregular vugs with fine white coatings; some softish ocherous goethite patches in some dark brown beds; with irregular dusting with fine specularite
