Company_ID,CollarID,Fromdepth,Todepth,Comapny_Lithocode,Company_Lithology,CET_Lithology,Score,Level_3,Level_2,Level_1
141,993857,39.0,40.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993857,40.0,41.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993857,41.0,42.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993857,42.0,43.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993857,43.0,44.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993857,44.0,45.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993857,45.0,46.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993857,46.0,47.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993857,47.0,48.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993857,48.0,49.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993857,49.0,50.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993857,50.0,51.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993857,51.0,52.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993857,52.0,53.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993857,53.0,54.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993857,54.0,55.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993857,55.0,56.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993857,56.0,57.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993857,57.0,58.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993857,58.0,59.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993857,59.0,60.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993857,60.0,61.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993857,61.0,62.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993857,62.0,63.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
