attributecolumn
ROCK
LITH1
LithMajor
$Lith
%Maj
%Maj_Lith
%Major Lith
%rock1
(original)Rock1
;LITHO
1_LithCode
1_RootCode
AbbreviatedRock1
BH_Lith_Code
Col_Lith1
Combined Lith
DUNHAM_LITH
DUNHAM_LITH 1
EMIS Lith1
EMIS Litho
EMIS Litho 1
EST_ROCK
est_rock
Estimated_Rock
Expanded_lithology
F_lithology
gc_lith
GCLith
Gcm Equivalent Lithology Code
GCM Lithology
GeoCode
Geol
GEOL
Geol Code
Geol CodeNo
Geol General
geol_code
GEOL_CODE
Geol_Code
GEOL_Rock1
Geol_Rock1
geol_type
GEOL1
Geol1
GeolCode
Geological Log
Geological summary
Geological Unit
Geological_code
Geological_Unit
GEOLOGY
geology
Geology
Geology 1
Geology Code
Geology_code
Geology_Codes
GeolType
GeoRck
Gldrckcde
gldrckcde
GLDRCKCDE
Gross_Lithology
HIST_GRAINSIZE
Hist_Lith
Hist_Lith_Code
Hist_Lith1
HIST_LITH1_CODE
Hist_Litho
HIST_ROCK1
HIST_ROCK2
Historic_Lith1
Historic_Lithology
Historical Lithology
Historical Lithology Code
HM Geol
HOST_LITH1
Intermediate Rock Type
INTERP
Interp
INTERP 1
INTERP LITH
Interp Lith
Interp.strat.
Interp_Geology
Interp_Lith
INTERP_LITH
INTERP1
Interp1
Interpretation
Interpreted rock type
Interpreted rock unit
Laboratory_determined_lithology
Light_Lith1
lihological
Lilh1
lit
LIT
Lit
LIT       C  6  0
Lit_1
LIT_1
LIT1
lith
Lith
LITH
LITH      C 12  0
Lith   Code
Lith 1
LITH 1
Lith 1 Rock Type
Lith Code
lith code
LITH CODE
Lith code
Lith Code 1
Lith I
lith interp
Lith M1
Lith Maj
Lith Major
Lith Primary / %
Lith Unit
Lith(PNC)
LITH. 1
Lith. 1
lith_0
LITH_1
Lith_1
Lith_1_Code
Lith_100
LITH_100
Lith_Cat
lith_code
Lith_Code
LITH_CODE
Lith_code
Lith_Code_
Lith_Code_1
Lith_code1
LITH_CODE1
lith_code1
Lith_Code1
Lith_Codes
Lith_Interp
Lith_Maj_1
Lith_Major
Lith_major
LITH_MAJOR
lith_major
lith_plot
Lith_plot
LITH_PLOT
Lith_Plot
LITH_Plot_lith
LITH_Plot_Proto
LITH_Plot_Rock1
Lith_primary
LITH_PRIMARY
Lith_Primary_Rock_Type
Lith_PrimaryCode
LITH_Protolith
LITH_Rock1
Lith_Simple
Lith_Simplified_X-Section
Lith_Tr_1
Lith_Tr_2
LITH_TYPE
Lith_Type
Lith_Unit
LITH_UNIT
Lith01
Lith01_Pct
LITH1
Lith1
lith1
lith-1
Lith1     C 10  0
Lith1 %
Lith1 code
Lith1 Code
Lith1 Interp
Lith1 Parent
Lith1%
lith1%
LITH1%
Lith1%_Orig
LITH1_%
Lith1_%
Lith1_100
LITH1_CODE
Lith1_code
Lith1_Code
lith1_code
Lith1_Code_Full
Lith1_Code_hist
Lith1_Code_HIST
Lith1_Code_Raw
Lith1_Code1
Lith1_CodeNew
Lith1_CodeTrans
LITH1_D
Lith1_Dominant
LITH1_GROUP
Lith1_Group
Lith1_hist
Lith1_Hist_Code
Lith1_HistCode1
Lith1_Historical
LITH1_ID
Lith1_Int
Lith1_InterpLith
Lith1_Intp
Lith1_IO
Lith1_Litho_Type
Lith1_Lithology
Lith1_Local
Lith1_M01
Lith1_Major
Lith1_OldCode
Lith1_Orig
Lith1_pc
LITH1_PC
Lith1_Pc
LITH1_PCENT
Lith1_pct
LITH1_PCT
lith1_pct
Lith1_Pct
Lith1_Percent
LITH1_PERCENT
Lith1_percent
Lith1_Plot
Lith1_Profile
Lith1_Rock
Lith1_Rock_Group
Lith1_Rock_Type
Lith1_RockGroup
Lith1_RockType
Lith1_S0
Lith1Code
Lith1RockType
lithcode
Lithcode
LITHCODE
LithCode
Lith-code
LITH-CODE
Lith-Code
Lithcode (EOH)
LithCode 1
LITHCODE SCHEME
LithCode(EOH)
Lithcode_1
LithCode_Legend
Lithcode1
LithCode1
Lithcode1_100
Lithcode1_101
LithCode1_A
lithcode1_main
LithCode1_T
LithCode1_V
Lithcode1A
Lithcode1T
LithCodeSy
LithCodeSystem
Lithgen
LithGenrl
Lithic_code
Lithlogy 1
LithLong
LithMajor
LITHMAJOR
LITHMAJOR_D
LithMajor_New
LithMajor_Old
LithMajor1
LithMin_Code1
LithMin1
Litho
litho
LITHO
LITHO _1
LITHO 1
Litho Code
LITHO CODE
Litho Code1
Litho P/%
Litho Type
Litho_1
LITHO_1
Litho_code
Litho_Code
LITHO_PLOT
LITHO_TYPE
Litho1
LITHO1
Litho-1
Litho1_Pct
LITHOCode
LithoCode
Litho-Code
Lithocode1
LITHOGroup
Lithol
Litholgy
Litholog1
Lithological Unit
Lithological unit
Lithological_code
Lithological_symbol
Lithological_Symbol
LITHOLOGY
Lithology
lithology
LITHOLOGY  1
LITHOLOGY 1
lithology 1
Lithology 1
LITHOLOGY CODE
Lithology Code
Lithology code
Lithology Major
Lithology Primary
Lithology Primary / %
LITHOLOGY%
Lithology_1
LITHOLOGY_1
Lithology_1_%
Lithology_100
Lithology_101
Lithology_102
Lithology_103
Lithology_104
Lithology_105
Lithology_106
Lithology_107
Lithology_108
Lithology_Code
Lithology_code
Lithology_Code _2
Lithology_Code_System
Lithology_code1
Lithology_code2
Lithology_codes
Lithology_Long_Comm
Lithology_longform
Lithology_Major
LITHOLOGY_MAJOR
Lithology_major
Lithology_Mineral
Lithology_Primary
Lithology_primary
Lithology_Primary / %
Lithology_raw1
Lithology_raw2
Lithology_rock
Lithology_Root
Lithology1
LITHOLOGY1
Lithology1_Code
Lithology1_code
LithologyCode
LithologyRoot
Lithoogy_1
Lithoology
LithOrg
LithOriginal
Lithplot
LithPlot
LITHPLOT
lithplot
LithPlot2
LithPrefix1
LithPrefix2
lithroot
LithSuffix1
LithSuffix2
Litht1
Litht1 %
LithType
LithType_%
LithVariant
LithZn
Lithzn
Lithzone
Llth1
logged lith
logged_lith
LTH1
Lth1_A
Lth1_G
Lth1_V
Ltih Code
Ltih-1
lynlith
MAIN
main
Main Geol Unit
Main Lithology
Main_lithology_%
MAJ
Maj
MAJ LITH
Maj Lithcode
Maj. Lithology
Maj. Rock
MAJ_
Maj_Lith
MAJ_LITH
MAJ_LITH%
Maj_Lith%
Maj_Lithology
MAJ_ROCK
Maj1
Maj2
Maj3
MajLith
MajLith1
MajLith2
MajLith3
MajLith4
MajLith5
MAJOR
Major
Major %
Major 1
Major 2
Major 3
Major 4
Major Code 1
Major Code 2
Major Code 3
Major Litho Class
Major Lithology
Major Rock
Major Rock Type
Major Rock type
Major_lith
Major_Lith
Major_Lith_Class
major_lithcode
Major_Lithology
Major_lithology
Major_Rock
Major_rock
Major_type
Major_Type
Major1
Major-1
Major2
Major-2
Major3
Major-3
Major4
Major-4
MajorGeology
MajorLitho
MAJORLITHO
MajorRock
MajorRockDescription
MajorRockQualifier
MajRock
MML_LithCombined
MML_LithMaj
MNR_ROCKTYPE
Norilsk_Lith
Norilsk_Protolith
Norilsk_Rock1
Old_Lith1
OLD_LITH1
Old_Maj_Lith
oldlith
OldRock
OldRockCode
OreClassLith
orig_lith
Orig_lith
Orig_Lith
Orig_Lith1
Orig_Lith2
Orig_Litho1
Orig_Litho2
ORIG_LITHOLOGY
Orig_RockType
Original_Lith_Plot
Origlith2
OrigRock
OS_Lith
PGS_ROCK
PIOC_Lith
PIOC_Litho
Plot Geo
PLOT LITH
Plot lithcode
Plot Lithcode
Plot Lithology
Plot Protolith
Plot_code
Plot_Code
Plot_Geology
plot_lith
Plot_Lith
Plot_Lith_1
Plot_Lith1
Plot_Lithology
Plot_Protolith
Plot_Protolith_d
PLOT_ROCK
Plot_Rock1
PlotLith
plotlith
Plotlith
PlotLithCode
Plotted_lith
PreTrans_Lith1_Code
PreTransLith1Code
Primary Lith
Primary RockType
Primary_Lithology
primary_lithology
primarylith
PrimaryLithology
primelith1
primelith2
PRIMLITH
Primlith
proj_lith
ProtLith
Proto Lith
PROTO_LITH
ProtoLith
PROTOLITH
Protolith
protolith
Proto-Lith
protolith_suffix
Protolith_Unit
ProtoLith1
ProtolithRock1
R_Lith1
R_Lith1_Texture
R_Lith1_var1
R_Lith1_var2
R_Lith1_var3
R_Lith1_var4
roc1
ROCK
rock
Rock
ROCK _1
ROCK 1
rock 1
Rock 1
Rock 1 %
ROCK CODE
Rock code
Rock Code
Rock Group
ROCK NAME
Rock Name
ROCK PLOT
rock type
ROCK TYPE
Rock Type
Rock type
Rock Type & Description
rock type 1
Rock Type 1
Rock type code
Rock Type Intermediate
Rock Type Intermediate %
