,Company_ID,CollarID,FromDepth,ToDepth,Company_LithoCode,Company_Litho,Score,Level 2,Level 1,CET_Litho
56,1286,4115008,63,66,SBI,Banded Iron Formation BIF,71,unclassified rock,unclassified_rock,Other
57,1286,4115006,53,54,SBI,Banded Iron Formation BIF,71,unclassified rock,unclassified_rock,Other
58,1286,1547595,42,43,SIF,Banded iron-formation,71,unclassified rock,unclassified_rock,Other
59,1286,1547595,40,41,SIF,Banded iron-formation,71,unclassified rock,unclassified_rock,Other
60,1286,1547595,77,78,SIF,Banded iron-formation,71,unclassified rock,unclassified_rock,Other
61,1286,1547595,39,40,SIF,Banded iron-formation,71,unclassified rock,unclassified_rock,Other
62,1286,1547595,41,42,SIF,Banded iron-formation,71,unclassified rock,unclassified_rock,Other
63,1286,1547595,38,39,SIF,Banded iron-formation,71,unclassified rock,unclassified_rock,Other
64,1286,1547595,34,35,SIF,Banded iron-formation,71,unclassified rock,unclassified_rock,Other
65,1286,1547595,36,37,SIF,Banded iron-formation,71,unclassified rock,unclassified_rock,Other
66,1286,1547595,76,77,SIF,Banded iron-formation,71,unclassified rock,unclassified_rock,Other
67,1286,1547595,78,79,SIF,Banded iron-formation,71,unclassified rock,unclassified_rock,Other
68,1286,1547595,43,44,SIF,Banded iron-formation,71,unclassified rock,unclassified_rock,Other
69,1286,1547595,111,112,ASK,Silica Altered,67,unclassified rock,unclassified_rock,Other
70,1286,1547595,35,36,SIF,Banded iron-formation,71,unclassified rock,unclassified_rock,Other
71,1286,1547595,37,38,SIF,Banded iron-formation,71,unclassified rock,unclassified_rock,Other
72,1286,1932294,193,195.45,U,Ultramafic rocks-undivided,80,unclassified rock,unclassified_rock,Other
73,1286,1932294,100,101.25,U,Ultramafic rocks-undivided,80,unclassified rock,unclassified_rock,Other
74,1286,1932294,203,214,U,Ultramafic rocks-undivided,80,unclassified rock,unclassified_rock,Other
75,1286,1932294,188,193.8,U,Ultramafic rocks-undivided,80,unclassified rock,unclassified_rock,Other
76,1286,1932294,178,179.2,U,Ultramafic rocks-undivided,80,unclassified rock,unclassified_rock,Other
77,1286,1932294,183,188.1,U,Ultramafic rocks-undivided,80,unclassified rock,unclassified_rock,Other
78,1286,1932294,188,188.4,U,Ultramafic rocks-undivided,80,unclassified rock,unclassified_rock,Other
79,1286,1932294,101,105.6,U,Ultramafic rocks-undivided,80,unclassified rock,unclassified_rock,Other
80,1286,1932294,195,203.4,U,Ultramafic rocks-undivided,80,unclassified rock,unclassified_rock,Other
81,1286,1932295,359,360.2,SIF,Banded iron-formation,71,unclassified rock,unclassified_rock,Other
82,1286,1932292,266,271.7,U,Ultramafic rocks-undivided,80,unclassified rock,unclassified_rock,Other
83,1286,1932294,179,183.6,U,Ultramafic rocks-undivided,80,unclassified rock,unclassified_rock,Other
84,1286,1932294,153,154.32,U,Ultramafic rocks-undivided,80,unclassified rock,unclassified_rock,Other
85,1621,1233280,80,84,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
86,1621,1233224,297,299,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
87,1621,1233223,92,94,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
88,1621,1233213,74,86,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
89,1621,1233153,21,28,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
90,1621,1233099,19,34,SIF,Banded iron formation,71,unclassified rock,unclassified_rock,Other
91,1621,1233139,77,109,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
92,1621,1233224,300,304.45,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
93,1621,1233216,503,525.23,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
94,1621,1233216,16,29,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
95,1621,1233096,16,33,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
96,1621,1233216,148,150,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
