id,fuzzywuzzy_terms,detailed_lithology,lithology_subgroup,lithology_group,bonus,definition,sourcenote,exactmatch1,note,historynote
426,Effluent_Waste ,effluent_waste,artificial_man_made_ground,surficial_rock,1,,,,,
427,Landraise_Site ,landraise_site,artificial_man_made_ground,surficial_rock,1,,,,,
428,Creek_Deposits ,creek_deposits,coastal_deposit,surficial_rock,1,,,,,
429,Merse_Deposits ,merse_deposits,coastal_deposit,surficial_rock,1,,,,,
430,Galcitectonite ,galcitectonite,glacigenic_deposit,surficial_rock,1,,,,,
431,Glacitectonite ,glacitectonite,glacigenic_deposit,surficial_rock,1,,,,,
432,Marine_Deposit Marine_Deposits ,marine_deposit,marine_deposit,surficial_rock,1,,,,,
433,Coombe_Deposit ,coombe_deposit,natural_superficial_ground,surficial_rock,1,,,,,
434,Embryonic_Dune ,embryonic_dune,natural_superficial_ground,surficial_rock,1,,,,,
435,Moundy_Terrain ,moundy_terrain,natural_superficial_ground,surficial_rock,1,,,,,
436,Surficial_Peat Basin_Peat Blanket_Peat Fen_Peat Hill_Peat ,surficial_peat,organic_deposit,surficial_rock,1,,,,,
437,Beach_Deposits ,beach_deposits,proglacial_deposits,surficial_rock,1,,,,,
438,Weathered_Rock ,weathered_rock,residual_deposit,surficial_rock,1,,,,,
439,Dilation_Bands ,dilation_bands,breaks,texture_structure,1,,,,,
440,Granitic_Rock ,granitic_rock,felsic,igneous_rock,1,,,,,
441,Picritic_rock ,picritic_rock,felsic_fine_grained_crystalline,igneous_rock,1,,,,,
442,Leucitic_Rock Leucitic ,leucitic_rock,leucitic,igneous_rock,1,,,,,
443,Anorthositoid ,anorthositoid,mafic_coarse_grained_crystalline,igneous_rock,1,,,,,
444,Hyaloclastite ,hyaloclastite,mafic_glassy,igneous_rock,1.01,,,,,
445,Amphibololite ,amphibololite,ultramafic_coarse_grained_crystalline,igneous_rock,1,,,,,
446,Paraquartzite ,paraquartzite,contact_metamorphic,metamorphic_rock,1,,,,,
447,Paragranofels ,paragranofels,granofels,metamorphic_rock,1,,,,,
448,Ophicarbonate Ophicalcite Ophidolomite Ophimagnesite ,ophicarbonate,metacarbonate,metamorphic_rock,1,,,,,
449,Pyroxene_rock ,pyroxene_rock,metamorphic,metamorphic_rock,1,,,,,
450,Aluminium_ore ,aluminium_ore,ore,mineralisation,1,,,,,
451,Lime_sediment Lime_gravel Aragonite_gravel Calcite_gravel Lime_mud Sapropelic_lime_mud Aragonite_mud Calcite_mud Lime_sand Aragonite_sand Calcite_sand Ooid_lime_sand Shell_lime_sediment Crinoid_lime_sediment Lime_Sediments Lime_Gravel Lime_Mud Lime_Sand Shell_Lime_Sediment Lime/Silicate_Sediment Lime_Gravel/Silicate_Sand Lime_Sediment/Phosphate_Sediment Crinioid_Lime_Sediment Ooid_Lime_Sand ,lime_sediment,sediment_carbonate,sediment,1,,,,,
452,Gypsum_Gravel ,gypsum_gravel,sediment_evaporite,sediment,1,,,,,
453,Phosphate_Mud ,phosphate_mud,sediment_phosphate,sediment,1,,,,,
454,Smectite_Clay ,smectite_clay,sediment_silicate,sediment,1,,,,,
455,Lime_mudstone Aragonite_mudstone Calcite_mudstone Marlstone Metalimestone ,lime_mudstone,carbonate,sedimentary_rock,1,,,,,
456,Ooid_Dolomite ,ooid_dolomite,carbonate,sedimentary_rock,1,,,,,
457,Thermonatrite ,thermonatrite,carbonate,sedimentary_rock,1,,,,,
458,Kainite_stone ,kainite_stone,evaporite,sedimentary_rock,1,,,,,
459,Kernite_stone ,kernite_stone,evaporite,sedimentary_rock,1,,,,,
460,Sylvite_stone ,sylvite_stone,evaporite,sedimentary_rock,1,,,,,
461,Ulexite_stone ,ulexite_stone,evaporite,sedimentary_rock,1,,,,,
462,Iron_mudstone Goethite_mudstone Siderite_mudstone Limonite_mudstone Hematite_mudstone Blackband_ironstone ,iron_mudstone,ironstone,sedimentary_rock,1,,,,,
463,Opaline_Chert ,opaline_chert,non_clastic_siliceous,sedimentary_rock,1,,,,,
464,Silicate_Clay ,silicate_clay,siliciclastic,sedimentary_rock,1,,,,,
465,Silicate_Sand ,silicate_sand,siliciclastic,sedimentary_rock,1,,,,,
466,Silicate_Silt ,silicate_silt,siliciclastic,sedimentary_rock,1,,,,,
467,Alluvial_Cone ,alluvial_cone,alluvial_deposit,surficial_rock,1,,,,,
468,Landfill_Site ,landfill_site,artificial_man_made_ground,surficial_rock,1,,,,,
469,Mineral_Waste ,mineral_waste,artificial_man_made_ground,surficial_rock,1,,,,,
470,Organic_Waste ,organic_waste,artificial_man_made_ground,surficial_rock,1,,,,,
471,Sewage_Sludge ,sewage_sludge,artificial_man_made_ground,surficial_rock,1,,,,,
472,Worked_Ground ,worked_ground,artificial_man_made_ground,surficial_rock,1,,,,,
473,Washover_Fans ,washover_fans,coastal_deposit,surficial_rock,1,,,,,
474,Mass_Movement ,mass_movement,natural_superficial_ground,surficial_rock,1,,,,,
475,Fault_breccia Fault_Breccias Fault_Breccia Protobreccias ,fault_breccia,fault_rock,texture_structure,1,,,,,
476,Melilitolite Ultramelilitolite Afrikandite Okaite Turjaite Kugdite Uncompahgrite Olivine_Melilitolite Olivine_Pyroxene_Melilitolite Pyroxene_Melilitolite Pyroxene_Olivine_Melilitolite ,melilitolite,exotic_crystalline,igneous_rock,1,,,,,
477,Dacitic_Rock ,dacitic_rock,felsic,igneous_rock,1,,,,,
478,Trondhjemite ,trondhjemite,felsic_coarse_grained_crystalline,igneous_rock,1,,,,,
479,Trachybasalt Hawaiite Potassic_trachybasalt ,trachybasalt,intermediate_fine_grained_crystalline,igneous_rock,1,,,,,
480,Trachydacite ,trachydacite,intermediate_fine_grained_crystalline,igneous_rock,1,,,,,
481,Gabbronorite Olivine_gabbronorite Pyroxene_hornblende_gabbronorite ,gabbronorite,mafic_coarse_grained_crystalline,igneous_rock,1,,,,,
482,Sideromelane ,sideromelane,mafic_glassy,igneous_rock,1,,,,,
483,Block_tephra ,block_tephra,volcaniclastic,igneous_rock,1,,,,,
484,Lapillistone Calciocarbonatite_lapillistone ,lapillistone,volcaniclastic,igneous_rock,1,,,,,
485,Lapilli_tuff ,lapilli_tuff,volcaniclastic,igneous_rock,1,,,,,
486,Vein_breccia ,vein_breccia,fault_rock,texture_structure,1,,,,,
487,Diaphthorite ,diaphthorite,metamorphic,metamorphic_rock,1,,,,,
488,Apojasperoid ,apojasperoid,metasomatic,metamorphic_rock,1,,,,,
