id,fuzzywuzzy_terms,detailed_lithology,lithology_subgroup,lithology_group,bonus,definition,sourcenote,exactmatch1,note,historynote
643,Gold_ore ,gold_ore,ore,mineralisation,1,,,,,
644,Iron_ore ,iron_ore,ore,mineralisation,1,,,,,
645,Lead_ore ,lead_ore,ore,mineralisation,1,,,,,
646,Iron_mud Goethite_mud Siderite_mud Limonite_mud Hematite_mud ,iron_mud,sediment_iron,sediment,1,,,,,
647,Gansiter ,gansiter,siliceous,sedimentary_rock,1,,,,,
648,Silcrete ,silcrete,siliceous,sedimentary_rock,1,,,,,
649,Alluvium Alluvial Alluvia Sheetwash Alluivial_Cover Alluvial_Pebbles Alluvial_Gravel ,alluvium,alluvial_deposit,surficial_rock,1.01,,,,,
650,Asbestos ,asbestos,artificial_man_made_ground,surficial_rock,1,,,,,
651,Bell_Pit ,bell_pit,artificial_man_made_ground,surficial_rock,1,,,,,
652,Landfill ,landfill,artificial_man_made_ground,surficial_rock,1,,,,,
653,Hummocky Hummocky_Moraine ,hummocky,glacigenic_deposit,surficial_rock,1,,,,,
654,Foredune ,foredune,natural_superficial_ground,surficial_rock,1,,,,,
655,Hillwash ,hillwash,natural_superficial_ground,surficial_rock,1,,,,,
656,Landslip Landslips ,landslip,natural_superficial_ground,surficial_rock,1,,,,,
657,Calcrete Gypcrete ,calcrete,residual_deposit,surficial_rock,1.01,,,,,
658,Iron_Pan ,iron_pan,residual_deposit,surficial_rock,1,,,,,
659,Laterite Bauxite Iron_Laterite Lateritic_Duricrust Lateritic_Gravel Lateritic_Residum ,laterite,residual_deposit,surficial_rock,1.01,,,,,
660,Pedolith ,pedolith,residual_deposit,surficial_rock,1,,,,,
661,Pisolite ,pisolite,residual_deposit,surficial_rock,1,,,,,
662,Pisolith Pisolithic Pisolitic,pisolith,residual_deposit,surficial_rock,1.01,,,,,
663,Regolith ,regolith,residual_deposit,surficial_rock,1,,,,,
664,Micaite Biotitite ,micaite,exotic_crystalline,igneous_rock,1,,,,,
665,Felsite ,felsite,mafic,igneous_rock,1,,,,,
666,Adinole ,adinole,contact_metamorphic,metamorphic_rock,1,,,,,
667,Cokeite ,cokeite,metamorphic,metamorphic_rock,1,,,,,
668,Greisen ,greisen,metasomatic,metamorphic_rock,1,,,,,
669,Unakite ,unakite,metasomatic,metamorphic_rock,1,,,,,
670,Tin_ore ,tin_ore,ore,mineralisation,1,,,,,
671,Micrite ,micrite,carbonate,sedimentary_rock,1,,,,,
672,Sparite ,sparite,carbonate,sedimentary_rock,1,,,,,
673,Lapilli ,lapilli,volcaniclastic_debris,sedimentary_rock,1,,,,,
674,Asphalt Tar ,asphalt,artificial_man_made_ground,surficial_rock,1,,,,,
675,Ballast ,ballast,artificial_man_made_ground,surficial_rock,1,,,,,
676,Ceramic Clay_brick Brick_clay Ceramic_waste ,ceramic,artificial_man_made_ground,surficial_rock,1,,,,,
677,Clinker ,clinker,artificial_man_made_ground,surficial_rock,1,,,,,
678,Plastic ,plastic,artificial_man_made_ground,surficial_rock,1,,,,,
679,Sandbar ,sandbar,coastal_deposit,surficial_rock,1,,,,,
680,Complex Complex_Landship ,complex,natural_superficial_ground,surficial_rock,1,,,,,
681,Caliche ,caliche,residual_deposit,surficial_rock,1,,,,,
682,Nodules Nodular,nodules,residual_deposit,surficial_rock,1,,,,,
683,Saprock ,saprock,residual_deposit,surficial_rock,1.01,,,,,
684,Patches ,patches,fillings,texture_structure,1,,,,,
685,Channel Paleochannel ,channel,sedimentary_structure,texture_structure,1,,,,,
686,Pumice ,pumice,felsic_glassy,igneous_rock,1,,,,,
687,Mafite ,mafite,mafic,igneous_rock,1,,,,,
688,Norite Clinopyroxene_norite Olivine_clinopyroxene_norite Olivine_norite Pyroxene_hornblende_norite Pyroxene_Hornblende_Cpx_Norite Olivine_Clinopyroxene_Norite ,norite,mafic_coarse_grained_crystalline,igneous_rock,1,,,,,
689,Scoria ,scoria,mafic_glassy,igneous_rock,1,,,,,
690,Aceite ,aceite,metasomatic,metamorphic_rock,1,,,,,
691,Fenite ,fenite,metasomatic,metamorphic_rock,1,,,,,
692,Natron ,natron,carbonate,sedimentary_rock,1,,,,,
693,Jasper ,jasper,siliceous,sedimentary_rock,1,,,,,
694,Corium ,corium,artificial_man_made_ground,surficial_rock,1,,,,,
695,Sinter ,sinter,chemical_deposit,surficial_rock,1,,,,,
696,Kettle Kettle_Deposit Kettle_Deposits ,kettle,glacigenic_deposit,surficial_rock,1,,,,,
697,Debris Debris_Cone ,debris,natural_superficial_ground,surficial_rock,1,,,,,
698,Spread ,spread,natural_superficial_ground,surficial_rock,1,,,,,
699,Topple Topples ,topple,natural_superficial_ground,surficial_rock,1,,,,,
700,Veneer ,veneer,natural_superficial_ground,surficial_rock,1,,,,,
701,Sandar ,sandar,proglacial_deposits,surficial_rock,1,,,,,
702,Sandur ,sandur,proglacial_deposits,surficial_rock,1,,,,,
703,Gossan Ironcap Caprock ,gossan,residual_deposit,surficial_rock,1.01,,,,,
704,Cracks ,cracks,breaks,texture_structure,1,,,,,
705,Crusts ,crusts,fillings,texture_structure,1,,,,,
706,Layers ,filling_layers,fillings,texture_structure,1,,,,,
707,Trona ,trona,carbonate,sedimentary_rock,1,,,,,
708,Agate ,agate,non_clastic_siliceous,sedimentary_rock,1,,,,,
709,Flint ,flint,non_clastic_siliceous,sedimentary_rock,1,,,,,
710,Guano ,guano,phosphate,sedimentary_rock,1,,,,,
711,Chert Opaline_chert Quartzose_chert Banded_Chert Cherty_Layers ,chert,siliceous,sedimentary_rock,1.01,,,,,
712,Loess ,loess,aeolian_deposit,surficial_rock,1,,,,,
713,Glass ,glass,artificial_man_made_ground,surficial_rock,1,,,,,
714,Metal Weathered_metal ,metal,artificial_man_made_ground,surficial_rock,1,,,,,
715,Paper ,paper,artificial_man_made_ground,surficial_rock,1,,,,,
716,Spoil ,spoil,artificial_man_made_ground,surficial_rock,1,,,,,
717,Waste ,waste,artificial_man_made_ground,surficial_rock,1,,,,,
718,Esker Esker_Deposit Esker_Deposits ,esker,glacigenic_deposit,surficial_rock,1,,,,,
719,Cover Overburden ,cover,natural_superficial_ground,surficial_rock,1,,,,,
720,Creep ,creep,natural_superficial_ground,surficial_rock,1,,,,,
721,Earth ,earth,natural_superficial_ground,surficial_rock,1,,,,,
722,Plain ,plain,natural_superficial_ground,surficial_rock,1,,,,,
723,Ridge ,ridge,natural_superficial_ground,surficial_rock,1,,,,,
724,Sheet ,sheet,natural_superficial_ground,surficial_rock,1,,,,,
725,Shell ,shell,natural_superficial_ground,surficial_rock,1,,,,,
726,Slide Slides ,slide,natural_superficial_ground,surficial_rock,1,,,,,
727,Talus Talus_Cone Talus_Sheet ,talus,natural_superficial_ground,surficial_rock,1,,,,,
728,Swamp ,swamp,organic_deposit,surficial_rock,1,,,,,
729,Fault Faults Faulting Normal_Fault Reverse_Fault Dextral Sinistral Reverse_Dextral Reverse_Sinistral Right_Reverse Right_Normal Dextral_Fault Sinistral_Fault Reverse_Dextral_Fault Reverse_Sinistral_Fault Right_Reverse_Fault Right_Normal_Fault Sinistral_strike_slip_fault Strike_slip_fault Scissor_fault Dextral_strike_slip_fault Wrench_Fault Thrust_Fault Transform_Faulting Reverse_Fault Pure_Extraction_Fault Oblique_Slip_Fault Mixed_Extraction_Fault Low_Angle_Fault Left_Normal_Fault Left_Reverse_Fault Low_Angle_Normal_Fault Horizontal_Fault High_Angle_Fault High_Angle_Normal_Fault Detachment_Fault Extraction_Fault Fault-Hosted Wrench Thrust Transforming Reverse Pure_Extraction Oblique_Slip Mixed_Extraction Low_Angle Left_Normal Left_Reverse Low_Angle_Normal Horizontal High_Angle High_Angle_Normal Detachment Extraction,fault,breaks,texture_structure,1.01,,,,,
730,Spots ,spots,fillings,texture_structure,1,,,,,
731,Tuff ,tuff,volcaniclastic,igneous_rock,1.01,,,,,
732,Tufa ,tufa,carbonate,sedimentary_rock,1,,,,,
733,Reef Back_Reef Backreef,reef,carbonate,sedimentary_rock,1,,,,,
734,Dune ,dune,aeolian_deposit,surficial_rock,1,,,,,
735,Bing ,bing,artificial_man_made_ground,surficial_rock,1,,,,,
736,Fill Backfill Back_Fill ,fill,artificial_man_made_ground,surficial_rock,1,,,,,
737,Slag Iron_slag Non_ferrous_metallic_slag Weathered_non_ferrous_metallic_slag Glass_slag blast_furnace_slag Foundry_slag ,slag,artificial_man_made_ground,surficial_rock,1,,,,,
738,Void Stope Cavity Cavities ,void,artificial_man_made_ground,surficial_rock,1,,,,,
739,Kame Kame_Deposit Kame_Deposits ,kame,glacigenic_deposit,surficial_rock,1,,,,,
740,Till Squeeze_Flow_Till Shear_Till Flow_Till Lodgement_Till Melt_Out_Till Deformation_Till Tillite ,till,glacigenic_deposit,surficial_rock,1,,,,,
741,Cone ,cone,natural_superficial_ground,surficial_rock,1,,,,,
742,Fall Falls ,fall,natural_superficial_ground,surficial_rock,1,,,,,
743,Flow ,flow,natural_superficial_ground,surficial_rock,1,,,,,
744,Head ,head,natural_superficial_ground,surficial_rock,1,,,,,
745,Marl Limey ,marl,natural_superficial_ground,surficial_rock,1,,,,,
746,Mire ,mire,natural_superficial_ground,surficial_rock,1,,,,,
747,Soil Alfisol Andisol Aridisol Entisol Gelisol Histosol Inceptisol Mollisol Oxisol Spodosol Ulitisol Vertisol Residual_Soil Soil_Clay ,soil,residual_deposit,surficial_rock,1.01,,,,,
748,Vein Veins Stockwork Quartz Apalite_Vein Quartz_Apalite_Quartz_Vein Vein_Quartz Stockworking Qtz_vein Veinlet,vein,fillings,texture_structure,1.01,,,,,
749,Ash ,ash,volcaniclastic,igneous_rock,1.01,,,,,
750,Ore Orebody,ore,ore,mineralisation,1,,,,,
751,Bioclastic_Sand ,bioclastic_sand,biological_deposit,surficial_rock,1,,,,,
752,Tip ,tip,artificial_man_made_ground,surficial_rock,1,,,,,
753,Fan ,fan,natural_superficial_ground,surficial_rock,1,,,,,
754,Bog ,bog,organic_deposit,surficial_rock,1,,,,,
755,Lag ,lag,residual_deposit,surficial_rock,1.01,,,,,
