attributecolumn,cet_attributecolumn
Dip,INCLINATION
DIP,INCLINATION
dip,INCLINATION
Dip (deg.),INCLINATION
Dip_2,INCLINATION
INC,INCLINATION
Inclination,INCLINATION
DIP (deg.),INCLINATION
DIP_camera,INCLINATION_CAMERA
Dip_gyro,INCLINATION_GYRO
DIP_LOCAL,INCLINATION_LOCAL
Nominal_Dip,INCLINATION_NOMINAL
DIP_Surtron,INCLINATION_SURTRON
