0,1
Comments,Qcb 
Comments,"""qcb, 15cm"""
Comments,qcb 1cm
Comments,"""qcb 1cm, py selvedges"""
Comments,qcb 1mm
Comments,"""qcb, 20cm"""
Comments,"""qcb, 20cm wide"""
Comments,qcb 2cm
Comments,qcb 2mm
Comments,"""qcb,5cm"""
Comments,"""qcb, 5cm wide"""
Comments,qcb 5mm
Comments,qcb altered mafic volc with semi massive py
VEINING_COMMENTS,Qcb as fine fracture fill.
VEINING_COMMENTS,Qcb as fracture fill.
Comments,qcb assoc w/ hydr. brecc zone 10cm either side
Comments,qcbcclpo
Comments,qcbchl
Comments,Qcbchl  
Comments,Qcbchl 1 cm thick
Comments,qcbchl +/- cp
Comments,qcbchlcppy veinlet
Comments,qcbchlpy
Comments,qcbchlpycp
Comments,qcbchlpycp assoc w/ hydr. brecc zone
Comments,qcbchlpy veinlet
Comments,qcb chl selvedge +cppy
Comments,qcbcl
Comments,qcbclpopy 1cm
Comments,qcbclpye shear band
Comments,qcbclpy vn
Comments,qcbcl vein
Comments,qcbcp
Comments,qcbcpcl vn
Comments,qcbcppo
Comments,qcbcppy
Comments,Qcbcppy
Comments,qcbcppy 1 cm thick
Comments,qcbcppy another stockwork ori
Comments,qcbcppypo
Comments,qcbcppy stringer
Comments,qcbcppy vein
Comments,qcbcppy vn
Comments,qcbcppy vn ~2cm thick varaibly dilated (hairline in places)
Comments,qcbcppy vt
Comments,qcbcppy yet another of the stockwork ori's
Comments,qcbcp vt
Comments,qcbe
Comments,QcbE
Comments,qcbep
Comments,qcbeps
Comments,qcbepy
Comments,QcbES
Comments,qcbes vein
Comments,qcbe veinlet
Comments,qcb fill
Comments,qcb fill above pyqcb zone
Comments,qcb filled crack
Comments,qcb hairline
Comments,Q.C. biotite
Comments,Qcb matrix hydr brecc
Comments,qcb on face
Comments,qcbpccp
Comments,qcb plus chl veinlet
Comments,qcbpo
Comments,qcbpocpAu - VISIBLE GOLD
Comments,qcbpo in weak stckwork
Comments,qcbpy
Comments,qcbpy 
Comments,Qcbpy
Comments,qcbpy 1cm
Comments,qcbpy 1mm
Comments,qcbpy 2mm
Comments,qcbpy 3cm
Comments,qcbpy 3mm
