Level_3,Level_2,Level_1
lime-framestone,carbonate,sedimentary rock
lime-grainstone,carbonate,sedimentary rock
lime-microstone,carbonate,sedimentary rock
lime-wackestone,carbonate,sedimentary rock
magnesite-stone,carbonate,sedimentary rock
pseudosparstone,carbonate,sedimentary rock
shell-limestone,carbonate,sedimentary rock
anhydrite-stone,evaporite,sedimentary rock
glacial_deposit,glacigenic_deposit,sedimentary rock
iron-boundstone,ironstone,sedimentary rock
iron-grainstone,ironstone,sedimentary rock
iron-wackestone,ironstone,sedimentary rock
quartzose-chert,non-clastic siliceous,sedimentary rock
bituminous-coal,organic-rich,sedimentary rock
