Level_3,Level_2,Level_1
phonolite,feldspathic_fine-grained crystalline,igneous
granitoid,felsic_coarse-grained crystalline,igneous
komatiite,felsic_fine-grained crystalline,igneous
dioritoid,intermediate_coarse-grained crystalline,igneous
monzonite,intermediate_coarse-grained crystalline,igneous
syenitoid,intermediate_coarse-grained crystalline,igneous
basaltoid,mafic_fine-grained crystalline,igneous
tachylite,mafic_glassy,igneous
granofels,granofels,metamorphic rock
anatexite,high-grade metamorphic rock,metamorphic rock
garnetite,high-grade metamorphic rock,metamorphic rock
granulite,high-grade metamorphic rock,metamorphic rock
migmatite,high-grade metamorphic rock,metamorphic rock
zoisitite,high-grade metamorphic rock,metamorphic rock
quartzite,low-grade metamorphic rock,metamorphic rock
talc-rock,metamorphic,metamorphic rock
gumberite,metasomatic,metamorphic rock
propylite,metasomatic,metamorphic rock
rodingite,metasomatic,metamorphic rock
diamicton,sediment_clastic,sediment
iron-sand,sediment_iron,sediment
aragonite,carbonate,sedimentary rock
beachrock,carbonate,sedimentary rock
carbonate,carbonate,sedimentary rock
dolostone,carbonate,sedimentary rock
limestone,carbonate,sedimentary rock
sparstone,carbonate,sedimentary rock
sandstone,clastic,sedimentary rock
evaporite,evaporite,sedimentary rock
ironstone,ironstone,sedimentary rock
phosphate,phosphate,sedimentary rock
diatomite,siliceous,sedimentary rock
packstone,siliceous,sedimentary rock
spiculite,siliciclastic,sedimentary rock
aeolinite,aeolian_deposit,surficial
herbicide,artificial_man-made_ground,surficial
pesticide,artificial_man-made_ground,surficial
mud_flats,coastal_deposit,surficial
colluvium,natural_superficial_ground,surficial
gray_dune,natural_superficial_ground,surficial
peat_flow,organic_deposit,surficial
duricrust,residual_deposit,surficial
palaeosol,residual_deposit,surficial
saprolite,residual_deposit,surficial
saprolith,residual_deposit,surficial
dendrites,fillings,texture_structure
sediments,fillings,texture_structure
tephrite,feldspathic_fine-grained crystalline,igneous
basanite,feldspathic_fine-grained crystalline,igneous
tonalite,felsic_coarse-grained crystalline,igneous
rhyolite,felsic_fine-grained crystalline,igneous
obsidian,felsic_glassy,igneous
aphanite,fine-grained crystalline,igneous
porphyry,intermediate,igneous
andesite,intermediate_fine-grained crystalline,igneous
dacitoid,intermediate_fine-grained crystalline,igneous
trachyte,intermediate_fine-grained crystalline,igneous
gabbroid,mafic_coarse-grained crystalline,igneous
dolerite,mafic_coarse-grained crystalline,igneous
hornfels,granofels,metamorphic rock
eclogite,high-grade metamorphic rock,metamorphic rock
phyllite,low-grade metamorphic rock,metamorphic rock
beresite,metasomatic,metamorphic rock
gold_ore,ore,mineralisation
iron_ore,ore,mineralisation
lead_ore,ore,mineralisation
sediment,sediment,sediment
iron-mud,sediment_iron,sediment
sapropel,sediment_organic,sediment
mudstone,clastic,sedimentary rock
gansiter,siliceous,sedimentary rock
silcrete,siliceous,sedimentary rock
alluvium,alluvial_deposit,surficial
asbestos,artificial_man-made_ground,surficial
bell_pit,artificial_man-made_ground,surficial
landfill,artificial_man-made_ground,surficial
hummocky,glacigenic_deposit,surficial
foredune,natural_superficial_ground,surficial
hillwash,natural_superficial_ground,surficial
landslip,natural_superficial_ground,surficial
calcrete,residual_deposit,surficial
iron_pan,residual_deposit,surficial
laterite,residual_deposit,surficial
pedolith,residual_deposit,surficial
pisolite,residual_deposit,surficial
pisolith,residual_deposit,surficial
regolith,residual_deposit,surficial
mylonite,fault_rock,texture_structure
micaite,exotic_crystalline,igneous
granite,felsic_coarse-grained crystalline,igneous
picrite,felsic_fine-grained crystalline,igneous
diorite,intermediate_coarse-grained crystalline,igneous
syenite,intermediate_coarse-grained crystalline,igneous
felsite,mafic,igneous
tuffite,volcaniclastic,igneous
adinole,contact metamorphic,metamorphic rock
spilite,low-grade metamorphic rock,metamorphic rock
cokeite,metamorphic,metamorphic rock
greisen,metasomatic,metamorphic rock
unakite,metasomatic,metamorphic rock
tin_ore,ore,mineralisation
micrite,carbonate,sedimentary rock
sparite,carbonate,sedimentary rock
lignite,organic-rich,sedimentary rock
arenite,siliciclastic,sedimentary rock
lapilli,volcaniclastic debris,sedimentary rock
asphalt,artificial_man-made_ground,surficial
ballast,artificial_man-made_ground,surficial
ceramic,artificial_man-made_ground,surficial
clinker,artificial_man-made_ground,surficial
plastic,artificial_man-made_ground,surficial
sandbar,coastal_deposit,surficial
complex,natural_superficial_ground,surficial
caliche,residual_deposit,surficial
nodules,residual_deposit,surficial
saprock,residual_deposit,surficial
breccia,fault_rock,texture_structure
patches,fillings,texture_structure
channel,sedimentary_structure,texture_structure
felsic,felsic,igneous
aplite,felsic_fine-grained crystalline,igneous
pumice,felsic_glassy,igneous
dacite,intermediate_fine-grained crystalline,igneous
latite,intermediate_fine-grained crystalline,igneous
mafite,mafic,igneous
gabbro,mafic_coarse-grained crystalline,igneous
norite,mafic_coarse-grained crystalline,igneous
basalt,mafic_fine-grained crystalline,igneous
scoria,mafic_glassy,igneous
gneiss,gneiss,metamorphic rock
marble,metacarbonate,metamorphic rock
aceite,metasomatic,metamorphic rock
fenite,metasomatic,metamorphic rock
schist,schist,metamorphic rock
gravel,sediment_clastic,sediment
natron,carbonate,sedimentary rock
jasper,siliceous,sedimentary rock
corium,artificial_man-made_ground,surficial
sinter,chemical_deposit,surficial
kettle,glacigenic_deposit,surficial
debris,natural_superficial_ground,surficial
spread,natural_superficial_ground,surficial
tephra,natural_superficial_ground,surficial
topple,natural_superficial_ground,surficial
veneer,natural_superficial_ground,surficial
sandar,proglacial deposits,surficial
