"id","holeid","anumber","companyholeid","dataset","companyid","longitude","latitude","istransformed","modifieddate","modifiedby","mrtfileid","holetype","maxdepth","geom"
831902,"91452Mt Mulgine11MTD004",91452,"11MTD004","Mt Mulgine",872,"116.975","-29.1808",True,NULL,NULL,23955,"DD",NULL,"0101000020E6100000000000406B3E5D40000000A0472E3DC0"
831903,"91452Mt Mulgine11MTD005",91452,"11MTD005","Mt Mulgine",872,"116.977","-29.1798",True,NULL,NULL,23955,"DD",NULL,"0101000020E6100000000000C0853E5D40000000E0082E3DC0"
872745,"63990MNJSWD124",63990,"WD124","MNJS",3049,"116.924","-29.131",True,NULL,NULL,24866,"RAB","110","0101000020E6100000000000001F3B5D40000000208B213DC0"
872751,"63990MNJSWD132",63990,"WD132","MNJS",3049,"116.917","-29.1222",True,NULL,NULL,24866,"RAB","101","0101000020E6100000000000C0B43A5D4000000060471F3DC0"
872814,"63990MNJSWD308",63990,"WD308","MNJS",3049,"116.919","-29.1447",True,NULL,NULL,24866,"RAB","111","0101000020E610000000000020CC3A5D40000000200C253DC0"
872815,"63990MNJSWD309",63990,"WD309","MNJS",3049,"116.918","-29.1443",True,NULL,NULL,24866,"RAB","111","0101000020E610000000000000BD3A5D4000000020F1243DC0"
872817,"63990MNJSWD311",63990,"WD311","MNJS",3049,"116.918","-29.1486",True,NULL,NULL,24866,"RAB","119","0101000020E610000000000000C43A5D400000000009263DC0"
872818,"63990MNJSWD312",63990,"WD312","MNJS",3049,"116.908","-29.144",True,NULL,NULL,24866,"RAB","119","0101000020E6100000000000C01D3A5D4000000000DF243DC0"
872842,"63990MNJSWD361",63990,"WD361","MNJS",3049,"116.915","-29.1612",True,NULL,NULL,24866,"RAB","104","0101000020E610000000000060903A5D400000000045293DC0"
872843,"63990MNJSWD362",63990,"WD362","MNJS",3049,"116.914","-29.1612",True,NULL,NULL,24866,"RAB","101","0101000020E6100000000000807F3A5D400000000045293DC0"
931212,"79530KararaLSC010",79530,"LSC010","Karara",3050,"117.148","-29.4188",True,NULL,NULL,26777,"RC","234","0101000020E61000000000000080495D4000000000396B3DC0"
931213,"79530KararaLSC011",79530,"LSC011","Karara",3050,"117.15","-29.4188",True,NULL,NULL,26777,"RC","206","0101000020E6100000000000C0A1495D4000000080376B3DC0"
931214,"79530KararaLSC014",79530,"LSC014","Karara",3050,"117.144","-29.4116",True,NULL,NULL,26777,"RC","228","0101000020E6100000000000603C495D400000004061693DC0"
931215,"79530KararaLSC015",79530,"LSC015","Karara",3050,"117.151","-29.4116",True,NULL,NULL,26777,"RC","124","0101000020E610000000000000A2495D40000000005F693DC0"
931216,"79530KararaLSC016",79530,"LSC016","Karara",3050,"117.148","-29.426",True,NULL,NULL,26777,"RC","158","0101000020E6100000000000E080495D4000000060116D3DC0"
931217,"79530KararaLSC017",79530,"LSC017","Karara",3050,"117.144","-29.4045",True,NULL,NULL,26777,"RC","136","0101000020E6100000000000803C495D40000000808A673DC0"
931218,"79530KararaLSC018",79530,"LSC018","Karara",3050,"117.151","-29.4335",True,NULL,NULL,26777,"RC","248","0101000020E610000000000060A3495D40000000A0F96E3DC0"
931219,"79530KararaLSD006",79530,"LSD006","Karara",3050,"117.153","-29.4336",True,NULL,NULL,26777,"DD","260.7","0101000020E610000000000080C5495D40000000C0016F3DC0"
931220,"79530KararaLSD007",79530,"LSD007","Karara",3050,"117.151","-29.4405",True,NULL,NULL,26777,"DD","229.8","0101000020E610000000000040A3495D40000000A0C4703DC0"
1146526,"71288Minjar NorthSSDD006",71288,"SSDD006","Minjar North",3050,"116.948","-28.8991",True,NULL,NULL,33850,"DD","546.4","0101000020E6100000000000E0AB3C5D40000000802AE63CC0"
1146528,"71288Minjar NorthSSDD008",71288,"SSDD008","Minjar North",3050,"116.947","-28.9021",True,NULL,NULL,33850,"DD","405","0101000020E6100000000000A09E3C5D4000000020EDE63CC0"
1146530,"71288Minjar NorthSSDD010",71288,"SSDD010","Minjar North",3050,"116.949","-28.9083",True,NULL,NULL,33850,"DD","249","0101000020E610000000000060BC3C5D40000000C086E83CC0"
1146531,"71288Minjar NorthSSDD011",71288,"SSDD011","Minjar North",3050,"116.948","-28.9002",True,NULL,NULL,33850,"DD","468","0101000020E6100000000000E0AD3C5D400000006074E63CC0"
1146650,"71288Minjar NorthSSDD005",71288,"SSDD005","Minjar North",3050,"116.948","-28.9002",True,NULL,NULL,33850,"RC","150","0101000020E6100000000000E0A83C5D400000008075E63CC0"
1233095,"82655KararaBHN1001",82655,"BHN1001","Karara",1621,"116.818","-29.1504",True,NULL,NULL,37125,"RC","108","0101000020E6100000000000805F345D40000000C083263DC0"
1233096,"82655KararaBHN1002",82655,"BHN1002","Karara",1621,"116.818","-29.151",True,NULL,NULL,37125,"RC","108","0101000020E6100000000000A053345D4000000060A9263DC0"
1233098,"82655KararaKAR1001",82655,"KAR1001","Karara",1621,"116.775","-29.1886",True,NULL,NULL,37125,"DD","713.4","0101000020E6100000000000A093315D400000004047303DC0"
1233099,"82655KararaKAR1002",82655,"KAR1002","Karara",1621,"116.775","-29.1885",True,NULL,NULL,37125,"DD","620.2","0101000020E61000000000008093315D40000000A044303DC0"
1233100,"82655KararaKAR1003",82655,"KAR1003","Karara",1621,"116.774","-29.1913",True,NULL,NULL,37125,"RC","200","0101000020E6100000000000208E315D40000000E0F8303DC0"
1233101,"82655KararaKAR1004",82655,"KAR1004","Karara",1621,"116.775","-29.1913",True,NULL,NULL,37125,"RC","186","0101000020E6100000000000C094315D4000000020FA303DC0"
1233102,"82655KararaKAR1005",82655,"KAR1005","Karara",1621,"116.776","-29.1913",True,NULL,NULL,37125,"RC","150","0101000020E6100000000000C0A5315D4000000060F7303DC0"
1233103,"82655KararaKAR1006",82655,"KAR1006","Karara",1621,"116.776","-29.1801",True,NULL,NULL,37125,"RC","250","0101000020E6100000000000C0A2315D40000000401A2E3DC0"
1233104,"82655KararaKAR1007",82655,"KAR1007","Karara",1621,"116.777","-29.1788",True,NULL,NULL,37125,"RC","250","0101000020E610000000000000BD315D4000000060C42D3DC0"
1233105,"82655KararaKAR1008",82655,"KAR1008","Karara",1621,"116.777","-29.1781",True,NULL,NULL,37125,"RC","236","0101000020E610000000000060B2315D4000000020972D3DC0"
1233106,"82655KararaKAR1009",82655,"KAR1009","Karara",1621,"116.778","-29.1772",True,NULL,NULL,37125,"RC","162","0101000020E6100000000000E0D0315D40000000405A2D3DC0"
