attributecolumn
lithological
lihological 
LIT
LITH
Lith
Lith_1
LITH_1
Lith_1_Code
Lith_code
lith_code
Lith_Code
lith_code1
Lith_Code1
Lith_Qualifier
Lith_Quallifier1
Lith1
LITH1
Lith1_100
Lith1_101
Lith1_Cat
LITH1_CODE
lith1_code
Lith1_code
Lith1_Code
Lith1Code
LITHOLOGY
lithology
Lithology
LITHOLOGY  1
Lithology 1
Lithology_1
LITHOLOGY1
Lithology1
Main Geol Unit
Maj. Lithology
Major Rock
RCK1
rck1
Rock
ROCK
Rock 1
Rock1
ROCK1
rock1
ROCKCODE
Rockcode
RockMajor
wmc_lith1
