clean
abundant
actinolite
adcumulate
adjacent
adularia
aegirine
agate
albite
alkaline
allanite
almandine
alunite
amorphous
amphibole
amygdaloidal
analcime
ancient
andalusite
andradite
anglesite
angular
angle
anhydrite
ankerite
anorthite
anthophyllite
anticlinal
anticline
antigorite
antimony
apatite
apophyllite
aragonite
archaean 
archaean
archean
arsenic
arsenopyrite
asbolane
asphaltic
augite
avalanche
axis
azimuth
azurite
baddeleyite
banding
barite
basin
bearing
bedding
bedded
bed
below
bentonitic
beryl
between
biotite
bismuthinite
bitumin
black
bleb
blue
bluffs
border
bornite
botryoidal
bottom
bowlders
boulders
break
brecciated
bright
broken
bronzite
brookite
brown
brucite
buff
bustamite
cainozoic 
cainozoic
calcedony
calcite
carboniferous
carbonate
carnotite
cassiterite
celestite
cemented
cement
cenozoic
cerrusite
chalcedony
chalcocite
chalcopyrite
chemical
cherty
chloritoid
chlorite
chocolate
chromite
chromium
chrysocolla
chrysoprase
chrysotile
clear
cleavage
clinopyroxene
clinozoisite
coarsely
cobaltite
cobalt
cobble
compact
completely
complete
composition
concentration
concretion
condense
condition
conductivity
considerable
consolidated
contaminated
contamianted
contaminate
continental
copper oxide
cordierite
coronadite
corss-bedded
corundum
covellite
covered
cretaceous
crop out
crumpled
crushed
crustal
crypotcrystalline
crystallized
crystals
cummingtonite
cuprite
dangerous
dark
dense
derived
developed
devonian
diamond
diaspore
dickite
digenite
dike
diopside
dip
dipping
discard
dissemianted
disseminated
distributed
DK
dolomite
dragfold
dravite
east
electrum
ellipsoidal
enargite
enriched
enstatite
eocene
epidote
equigranualr
eruptive
extremely
extreme
fault
favorable
fayalite
finely
fissile
fissle
fissure
flake
flow
fluorite
fold
foliation
foot wall
forsterite
fossil
fracture
fragmental
fragments
fragment
fraible
fuchsite
gahnite
galena
gangue
garnet
gedrite
gersdorffite
gibbsite
glass
glauconite
glaucophane
gneissosity
goethite
gold
gouge
gradational
grade
granophyric
granular
graphite
green silica
green
grey
gray
grossular
grunerite
gypsum
hУМbnerite
haematite
halite
hanging
hedenbergite
hematite
hercynite
heterogenous
highly
high
hornblende
hornfelsed
hot
hydroxide
hydrozincite
illite
ilmenite
ilvaite
impregnated
inclined
inclusions
inclusion
indurated
inequigranular
interbedded
irregular
isothermal
jacobsite
jadeite
jagged
jamesonite
jarosite
jasper
jointing
jointed
joint
jurassic
kaolin
komatiitic
kotulskite
kyanite
lУЖllingite
labradorite
lamelliferous
laminated
lamination
lamine
landslip
lateritic
laurite
lead
lean
lepidolite
leucite
leucocratic
leucoxene
light
limonite
lineation
lithological
littoral
lizardite
loam
local
location
low
mackinawite
magentic
maghemite
magmatic
magnesite
magnetic
majority
major
malachite
mammilary
manganese
manganite
marcasite
marine
material
matrix
medium
megacrystic
melanocratic
melastoma
mesotype
mesozoic
metamorphism
metamorphosed
metamorphic
meta-
meta
miassite
micas
mica
microcline
millerite
mimetite
mineralized
mineralised
mineral
minor
miocene 
miocene
mixed
moderately
moderatey
moderate
molybdenite
monazite
montmorillonite
monzonite
moya
muscovite
mxd
native
natrolite
nepheline
nickel
nickeline
nodules/concretions dolomite
nontronite
north
older
oldest
oligocene 
oligocene
oligoclase
olivine
oolitic
opalized
opaque
orange
ordovician
orthoclase
orthopyroxene
other
outcrop
ovate
oxidation
oxidized
oxides
paleocene
palygorskite
paragonite
pargasite
pea
pebble
pentlandite
peperino
peperite
peperitic
permian
perpendicular
phengite
phenocrysts
phlogopite
phosphates
phosphate
pigeonite
pillow
pink
pisolithic
pisolitic
pitchblende
plagioclase
platinum
pleistocene
pliocene
porous
porphyritic
porphyry
potassic
precambrian
cambrian
precipitous
predominantly
predominant
dominant
prehnite
primitive
proportion
proterozoic
proustite
provenance
pumpellyite
purple
pyrope
pyrophyllite
pyroxene
pyroxmangite
pyrrhotite
quaternary 
quaternary
rare
refractory
non-residual
nonresidual
residual
residue
resistant
rhodochrosite
rhodonite
rich
riebeckite
rough
rounded
round
rugged
rutile
sandy
sanidine
sapphirine
scapolite
scarce
scheelite
schistosity
seam
secondary
sericite
serpentenite
serpentine
serpentinized
sharp
sheeting
shingle
siderite
sillimanite
silurian
silver
simple
sindery
sized
size
sliceknsides
slightly
slippery
smectite
smithsonite
smooth
sodalite
sodic
soft
softer
sooty
south
spare
speciment
sperrylite
spessartine
sphalerite
sphene
spinel
staurolite
steel
steep
stibnite
sticky
stilbite
stilpnomelane
stock
straie
strain
strained
strata
stratification
stratified
stratum
streak
strike
striking
stringer
strong
strongly
structure
submerged
sulphate
sunken
synclinal
syncline
talc-carbonate
talc
tarnished
tennantite
tephroite
terrestial
tertiary
tetrahedrite
thick
thin
titanite
topaz
tourmaline
tremolite
trend
trending
triassic
tufaceous
tuffaceous
turbinated
unclassified
unconsolidated
undifferentiated
undifferentiates
undiferentiated
undiferentiates
undiffere ntiated
differentiated
undiff
differentiated
#NAME?
undivided
undulating
unfavorable
unknown
unnamed
unoxidized
uranium
uraninite
uranitite
uvarovite
variable
veined
veinlet
vermiculite
vertical
very
vesicle
vesuvianite
violarite
violet
w.
wall
wash
weakly
weak
weathered
west
wet
white
willemite
witherite
with
wolframite
wollastonite
xenolithic
xenolitic
xenotime
yellow
younger
zeolite
zinc
zircon
zoisite
