lith_1_1h_1
NSO
WOO
MAO
Qh/Qts
Qfp/Qsil
Qtg?/Qsil/QTc
Lc?
Ls
Ls/Bi?
Ls/Bi?/Vnqz
Ls/Bgb
Qts/Qtp
Qts/Qh
Qh/Qtp
Qtp/QTc
QTc/Qtp
Lfp?/Qc
MVB
V
FIO
I
Tl
Mb
Qa
Cza
Czlp
As
Ash
Ashg
Qahp
Au
Auk
Aux
Cztc
Ag
VQ
Ab
LAT
LSP
TCS
Czlu
Czlc
Au  
Czz 
Czf 
X   
Ash 
Qas 
Ab  
Ac  
Czc
Ferricrete
Calcrete
dolomite
Clay
COL
LND
LMZ
FGR
Aut
X
Aod
LIZ
LPZ
ALL
LCZ?
MBA
TA
Lf
IV
IVS
SCP
SH
FIP
SC
MVM
MV
M
Vcb
IVX
Qh
Qts
Qtc
Qtg
Qsil
Qtp
Lfn
Vqz
??
Lm
Lc
Ai
CZL
TLM
QDH
SCH
TLS
QAP
QDC
TLC
MGA
LSZ
QV
cy
do
us
TG
VS
Spt
Sif
Ssh
Sct
Utc
SOIL
GRT
CZ
MRK
MRK/GRT
Cc
Mm
NSR
F
Chs
Md
GVL
SST
CYT
SHL
Af
Czz
Czq
Afp
Abf
Void
Agr
Amig
Amm
Fault
Auc
Avn
QAS
QUES
ABT
ACI
CZF
ASS
USH
RFO
NFO
U
NR
Sp
Sps
Sx
Eo
Ccf
Msc
Ssq
LFZ
TCG
TCC
LCZ
CL
NULL
FPD
MGB
MSCH
FI
FG
CONTAM
NS
gabbro
OAL
SAP
MOT
SUN
OGV
SPU
SSS
UUN
SIS
MUN
MDO
BIF
SBS
OCG
USC
SPL
UTT
QZVN
BLT
TC
FVT
QAK
AFI
ALU
AC
AOG
AO
BIG
BIH
BIC
BIM
LSU
XHESE
LSF
XCLSI
XSETC
XSECL
XSIGA
UPX
XSEGA
XCLSE
USCH
SQ
M?
MAA
FPG
MAA/FPG
MAA/QV
MAA/U
Q/FS?
U?
UCY
USE
MGA?
LATT
IRST
SPLT
SHLE
SPRK
CLY
CLSC
MOTZ
HARD
PLDZ
XSO
XLC
XLM
RSP
SND
PIST
METB
RLC
RSR
A
O
L
Z
S
P
RLP
RLM
RCY
XHP
RLZ
RHP
XGV
TMSH
RLN
M/U
CGV
RSPU
RSRU
ASA
AIP
RSI
RSO
XKA
XCY
AGA
SO
SS
SSL
QZ
TMPH
SCI
50
85
80
75
gb
SAQ
NREC
IAXA
SAF
GMSY
IT
GR
SGF
Ca
UNK
N
W
NA
NL
CS
MOO
UOO
NC
GD
Mvkb
ND
NDNL
FSO
USO
NH
FOO
FPO
NG
SA
SI
TADO
CRTA
GA
QCF
QCM
Sand
Talc
Talc S#
Talc Bx
Gravel
Dol Sf
Slt
Talc Do
Dol
Dol Bx
No Samp
ClTa S#
Chert
SSTS
NOO
NHO
RMZ
UTO
Qtp/Qc
Qtp/Qc/Vnqz
Qh?/Vnqz?
Ls/Bgb?/Vnqz
Qts/Qh/Qtp
Qh/Qf
Qts/Qh/QTc
Ls/Vnqz
Ls/Bi
Qh/Qts(Qtp)
Qtp/Qh
Lm/Lc
Lc/Lm
Lc(Lm)
La
Afv
Afq
Abd
Ass 
Ala
Aba
Aogq
Afdp
Czk
IVT
SL
Mscs
Bdo
COV
AFD
AM
MBO
SCF
Transported overburden; consolidated sands
Clay + 25% carbonate (calcrete)
Clay + 25% felsic schist (yellow weathering)
Schist; biotite-muscovite schist + 10% Wh clay
Schist + minor clay + Qz
Schist + Br gossanous material (no sulph) + Qz
Schist + Qz
Schist
"""Schist, bright honey yellow, alteration overprint from sulphides + 10% silver-red Qz-musc-bio schist, blue/green/gold sulphides - possibly tarnish"""
"""Schist, bright honey yellow, alteration overprint from sulphides + 10% silver-red Qz-musc-bio schist, blue/green/gold sulphides - possibly tarnish; EOH"""
Transported overburden - Consolidated sands (unconsolidated 0-1m)
Transported overburden - Consolidated sands
Transported overburden - Consolidated sands + Wh clay + trace Rd/Ye sand (gossanous)
Transported overburden - Consolidated sands + Wh clay + 15% Rd/Ye sand (gossanous)
Sandy gossan with trace Py
"""Schist, weathered to Wh kaolin + sandy gossan (trace)"""
Clay + minor Qz
Clay + goethite enrichement from Qz vein
"""Clay,sandy + minor Qz"""
"""Clay,sandy + minor Qz + supergene iron enrichment"""
Gn mafic schist + minor Qz
Gn mafic schist + minor Qz; EOH
WRK
SED?
SED
?SED
?GRT
