dhalterationid,collarid,holeid,companyholeid,fromdepth,todepth,Alt1_Code,Alt1_Int,Alt_Comments
954841,2145562,94873ENTYGYGAC059,YGAC059,66.0,71.0,PT,M,
1398709,3031557,89816ExplorationSIRC001,SIRC001,0.0,1.0,P,3,
1398710,3031557,89816ExplorationSIRC001,SIRC001,18.0,19.0,TC,1,
1398711,3031557,89816ExplorationSIRC001,SIRC001,31.0,32.0,TC,1,
1398712,3031557,89816ExplorationSIRC001,SIRC001,40.0,41.0,P,2,
1398713,3031557,89816ExplorationSIRC001,SIRC001,41.0,42.0,P,2,
1398714,3031557,89816ExplorationSIRC001,SIRC001,42.0,43.0,P,2,
1398715,3031557,89816ExplorationSIRC001,SIRC001,43.0,44.0,CH,3,
1398716,3031557,89816ExplorationSIRC001,SIRC001,44.0,45.0,CH,2,
1398717,3031557,89816ExplorationSIRC001,SIRC001,45.0,46.0,P,2,
1398718,3031558,89816ExplorationSIRC002,SIRC002,0.0,1.0,HM,3,
1398719,3031558,89816ExplorationSIRC002,SIRC002,29.0,30.0,P,4,
1398720,3031558,89816ExplorationSIRC002,SIRC002,30.0,31.0,LM,4,
1398721,3031558,89816ExplorationSIRC002,SIRC002,31.0,32.0,LM,4,
1398722,3031558,89816ExplorationSIRC002,SIRC002,32.0,33.0,LM,4,
1398723,3031558,89816ExplorationSIRC002,SIRC002,33.0,34.0,P,4,
1398724,3031558,89816ExplorationSIRC002,SIRC002,34.0,35.0,P,4,
1398725,3031558,89816ExplorationSIRC002,SIRC002,35.0,36.0,P,4,
1398726,3031558,89816ExplorationSIRC002,SIRC002,36.0,37.0,LM,4,
1398727,3031558,89816ExplorationSIRC002,SIRC002,37.0,38.0,LM,4,
1398728,3031558,89816ExplorationSIRC002,SIRC002,38.0,39.0,P,4,
1398729,3031558,89816ExplorationSIRC002,SIRC002,39.0,40.0,SK,4,
1398730,3031558,89816ExplorationSIRC002,SIRC002,40.0,41.0,P,4,
1398731,3031558,89816ExplorationSIRC002,SIRC002,41.0,42.0,SK,4,
1398732,3031558,89816ExplorationSIRC002,SIRC002,42.0,43.0,SK,4,
1398733,3031558,89816ExplorationSIRC002,SIRC002,43.0,44.0,P,4,
1398734,3031558,89816ExplorationSIRC002,SIRC002,54.0,55.0,TC,1,
1398735,3031558,89816ExplorationSIRC002,SIRC002,55.0,56.0,P,3,
1398736,3031558,89816ExplorationSIRC002,SIRC002,56.0,57.0,P,2,
1398737,3031558,89816ExplorationSIRC002,SIRC002,57.0,58.0,TC,2,
1398738,3031558,89816ExplorationSIRC002,SIRC002,61.0,62.0,TC,1,
1398739,3031558,89816ExplorationSIRC002,SIRC002,62.0,63.0,P,1,
1398740,3031558,89816ExplorationSIRC002,SIRC002,69.0,70.0,P,4,
1398741,3031558,89816ExplorationSIRC002,SIRC002,70.0,71.0,P,4,
1398742,3031558,89816ExplorationSIRC002,SIRC002,85.0,86.0,CH,3,
1398743,3031559,89816ExplorationSIRC003,SIRC003,0.0,1.0,HM,3,
1398744,3031559,89816ExplorationSIRC003,SIRC003,1.0,2.0,HM,3,
1398745,3031559,89816ExplorationSIRC003,SIRC003,2.0,3.0,HM,3,
1398746,3031559,89816ExplorationSIRC003,SIRC003,4.0,5.0,TC,1,
1398747,3031559,89816ExplorationSIRC003,SIRC003,5.0,6.0,TC,1,
1398748,3031559,89816ExplorationSIRC003,SIRC003,6.0,7.0,TC,1,
1398749,3031559,89816ExplorationSIRC003,SIRC003,7.0,8.0,P,2,
1398750,3031559,89816ExplorationSIRC003,SIRC003,14.0,15.0,P,1,
1398751,3031559,89816ExplorationSIRC003,SIRC003,15.0,16.0,P,1,
1398752,3031559,89816ExplorationSIRC003,SIRC003,16.0,17.0,TC,1,
1398753,3031559,89816ExplorationSIRC003,SIRC003,27.0,28.0,LM,4,
1398754,3031559,89816ExplorationSIRC003,SIRC003,28.0,29.0,LM,4,
1398755,3031559,89816ExplorationSIRC003,SIRC003,29.0,30.0,LM,4,
1398756,3031559,89816ExplorationSIRC003,SIRC003,30.0,31.0,LM,4,
1398757,3031559,89816ExplorationSIRC003,SIRC003,31.0,32.0,LM,4,
1398758,3031559,89816ExplorationSIRC003,SIRC003,32.0,33.0,P,4,
1398759,3031559,89816ExplorationSIRC003,SIRC003,33.0,34.0,P,4,
1398760,3031559,89816ExplorationSIRC003,SIRC003,34.0,35.0,LM,4,
1398761,3031559,89816ExplorationSIRC003,SIRC003,35.0,36.0,LM,4,
1398762,3031559,89816ExplorationSIRC003,SIRC003,36.0,37.0,LM,4,
1398763,3031559,89816ExplorationSIRC003,SIRC003,53.0,54.0,SK,4,
1398764,3031559,89816ExplorationSIRC003,SIRC003,54.0,55.0,P,4,
1398765,3031559,89816ExplorationSIRC003,SIRC003,55.0,56.0,SK,4,
1398766,3031559,89816ExplorationSIRC003,SIRC003,56.0,57.0,SK,4,
1398767,3031559,89816ExplorationSIRC003,SIRC003,57.0,58.0,P,4,
1398768,3031559,89816ExplorationSIRC003,SIRC003,58.0,59.0,P,4,
1398769,3031559,89816ExplorationSIRC003,SIRC003,59.0,60.0,TC,1,
1398770,3031559,89816ExplorationSIRC003,SIRC003,63.0,64.0,TC,2,
1398771,3031559,89816ExplorationSIRC003,SIRC003,64.0,65.0,TC,2,
1398772,3031559,89816ExplorationSIRC003,SIRC003,65.0,66.0,TC,2,
1398773,3031559,89816ExplorationSIRC003,SIRC003,66.0,67.0,P,3,
1398774,3031559,89816ExplorationSIRC003,SIRC003,67.0,68.0,CH,3,
1398775,3031559,89816ExplorationSIRC003,SIRC003,68.0,69.0,CH,3,
1398776,3031559,89816ExplorationSIRC003,SIRC003,69.0,70.0,P,3,
1398777,3031559,89816ExplorationSIRC003,SIRC003,73.0,74.0,D,4,
1398778,3031559,89816ExplorationSIRC003,SIRC003,74.0,75.0,D,4,
1398779,3031559,89816ExplorationSIRC003,SIRC003,75.0,76.0,D,4,
1398780,3031559,89816ExplorationSIRC003,SIRC003,76.0,77.0,P,2,
1398781,3031559,89816ExplorationSIRC003,SIRC003,77.0,78.0,P,2,
1398782,3031559,89816ExplorationSIRC003,SIRC003,78.0,79.0,P,2,
1398783,3031559,89816ExplorationSIRC003,SIRC003,79.0,80.0,PY,4,
1398784,3031559,89816ExplorationSIRC003,SIRC003,80.0,81.0,PY,4,
1398785,3031559,89816ExplorationSIRC003,SIRC003,81.0,82.0,P,2,
1398786,3031559,89816ExplorationSIRC003,SIRC003,82.0,83.0,P,2,
1398787,3031559,89816ExplorationSIRC003,SIRC003,83.0,84.0,P,2,
1398788,3031559,89816ExplorationSIRC003,SIRC003,84.0,85.0,TC,2,
1398789,3031559,89816ExplorationSIRC003,SIRC003,85.0,86.0,P,2,
1398790,3031559,89816ExplorationSIRC003,SIRC003,86.0,87.0,P,2,
1398791,3031559,89816ExplorationSIRC003,SIRC003,87.0,88.0,P,2,
1398792,3031559,89816ExplorationSIRC003,SIRC003,88.0,89.0,P,2,
1398793,3031559,89816ExplorationSIRC003,SIRC003,89.0,90.0,TC,2,
1398794,3031559,89816ExplorationSIRC003,SIRC003,90.0,91.0,TC,2,
1398795,3031559,89816ExplorationSIRC003,SIRC003,91.0,92.0,PY,4,
1398796,3031559,89816ExplorationSIRC003,SIRC003,92.0,93.0,PY,4,
1398797,3031559,89816ExplorationSIRC003,SIRC003,93.0,94.0,TC,3,
1398798,3031559,89816ExplorationSIRC003,SIRC003,94.0,95.0,P,3,
1398799,3031559,89816ExplorationSIRC003,SIRC003,95.0,96.0,P,3,
1398800,3031559,89816ExplorationSIRC003,SIRC003,96.0,97.0,P,3,
1398801,3031559,89816ExplorationSIRC003,SIRC003,97.0,98.0,CH,3,
1398802,3031559,89816ExplorationSIRC003,SIRC003,98.0,99.0,P,3,
1398803,3031559,89816ExplorationSIRC003,SIRC003,99.0,100.0,TC,3,
1398804,3031559,89816ExplorationSIRC003,SIRC003,100.0,101.0,TC,3,
1398805,3031559,89816ExplorationSIRC003,SIRC003,101.0,102.0,CH,3,
1398806,3031559,89816ExplorationSIRC003,SIRC003,102.0,103.0,CH,3,
1398807,3031559,89816ExplorationSIRC003,SIRC003,103.0,104.0,P,3,
1398808,3031559,89816ExplorationSIRC003,SIRC003,104.0,105.0,TC,2,
1398809,3031559,89816ExplorationSIRC003,SIRC003,105.0,106.0,TC,2,
1398810,3031559,89816ExplorationSIRC003,SIRC003,106.0,107.0,P,2,
1398811,3031559,89816ExplorationSIRC003,SIRC003,107.0,108.0,TC,2,
1398812,3031559,89816ExplorationSIRC003,SIRC003,108.0,109.0,P,1,
1398813,3031559,89816ExplorationSIRC003,SIRC003,109.0,110.0,P,1,
1398814,3031559,89816ExplorationSIRC003,SIRC003,110.0,111.0,D,3,
1398815,3031559,89816ExplorationSIRC003,SIRC003,111.0,112.0,P,1,
1398816,3031559,89816ExplorationSIRC003,SIRC003,112.0,113.0,TC,1,
1398817,3031559,89816ExplorationSIRC003,SIRC003,113.0,114.0,TC,1,
1398818,3031559,89816ExplorationSIRC003,SIRC003,114.0,115.0,CH,4,
1398819,3031559,89816ExplorationSIRC003,SIRC003,115.0,116.0,P,1,
1398820,3031559,89816ExplorationSIRC003,SIRC003,116.0,117.0,P,1,
1398821,3031559,89816ExplorationSIRC003,SIRC003,117.0,118.0,CH,4,
1398822,3031559,89816ExplorationSIRC003,SIRC003,118.0,119.0,PY,1,
1398823,3031559,89816ExplorationSIRC003,SIRC003,119.0,120.0,PY,1,
1398824,3031560,89816ExplorationSIRC004,SIRC004,0.0,1.0,P,4,
1398825,3031560,89816ExplorationSIRC004,SIRC004,1.0,2.0,P,4,
1398826,3031560,89816ExplorationSIRC004,SIRC004,2.0,3.0,P,4,
1398827,3031560,89816ExplorationSIRC004,SIRC004,3.0,4.0,LM,4,
1398828,3031560,89816ExplorationSIRC004,SIRC004,4.0,5.0,LM,4,
1398829,3031560,89816ExplorationSIRC004,SIRC004,5.0,6.0,LM,4,
1398830,3031560,89816ExplorationSIRC004,SIRC004,6.0,7.0,LM,4,
1398831,3031560,89816ExplorationSIRC004,SIRC004,7.0,8.0,LM,4,
1398832,3031560,89816ExplorationSIRC004,SIRC004,8.0,9.0,LM,4,
1398833,3031560,89816ExplorationSIRC004,SIRC004,9.0,10.0,LM,4,
1398834,3031560,89816ExplorationSIRC004,SIRC004,10.0,11.0,LM,4,
1398835,3031560,89816ExplorationSIRC004,SIRC004,11.0,12.0,LM,4,
1398836,3031560,89816ExplorationSIRC004,SIRC004,12.0,13.0,P,4,
1398837,3031560,89816ExplorationSIRC004,SIRC004,13.0,14.0,P,4,
1398838,3031560,89816ExplorationSIRC004,SIRC004,14.0,15.0,LM,4,
1398839,3031560,89816ExplorationSIRC004,SIRC004,15.0,16.0,LM,4,
1398840,3031560,89816ExplorationSIRC004,SIRC004,16.0,17.0,LM,4,
1398841,3031560,89816ExplorationSIRC004,SIRC004,17.0,18.0,P,4,
1398842,3031560,89816ExplorationSIRC004,SIRC004,18.0,19.0,LM,4,
1398843,3031560,89816ExplorationSIRC004,SIRC004,42.0,43.0,P,1,
1398844,3031560,89816ExplorationSIRC004,SIRC004,47.0,48.0,P,1,
1398845,3031560,89816ExplorationSIRC004,SIRC004,49.0,50.0,P,1,
1398846,3031560,89816ExplorationSIRC004,SIRC004,52.0,53.0,LM,4,
1398847,3031560,89816ExplorationSIRC004,SIRC004,53.0,54.0,LM,4,
1398848,3031560,89816ExplorationSIRC004,SIRC004,54.0,55.0,LM,4,
1398849,3031560,89816ExplorationSIRC004,SIRC004,55.0,56.0,P,4,
1398850,3031560,89816ExplorationSIRC004,SIRC004,56.0,57.0,LM,4,
1398851,3031560,89816ExplorationSIRC004,SIRC004,57.0,58.0,LM,2,
1398852,3031560,89816ExplorationSIRC004,SIRC004,58.0,59.0,P,2,
1398853,3031560,89816ExplorationSIRC004,SIRC004,59.0,60.0,LM,2,
1398854,3031560,89816ExplorationSIRC004,SIRC004,60.0,61.0,LM,1,
1398855,3031561,89816ExplorationSIRC005,SIRC005,0.0,1.0,P,2,
1398856,3031561,89816ExplorationSIRC005,SIRC005,1.0,2.0,P,2,
1398857,3031561,89816ExplorationSIRC005,SIRC005,2.0,3.0,P,3,
1398858,3031561,89816ExplorationSIRC005,SIRC005,3.0,4.0,TC,3,
1398859,3031561,89816ExplorationSIRC005,SIRC005,4.0,5.0,TC,3,
1398860,3031561,89816ExplorationSIRC005,SIRC005,5.0,6.0,P,3,
1398861,3031561,89816ExplorationSIRC005,SIRC005,6.0,7.0,TC,3,
1398862,3031561,89816ExplorationSIRC005,SIRC005,7.0,8.0,TC,3,
1398863,3031561,89816ExplorationSIRC005,SIRC005,8.0,9.0,P,3,
1398864,3031561,89816ExplorationSIRC005,SIRC005,9.0,10.0,TC,3,
1398865,3031561,89816ExplorationSIRC005,SIRC005,10.0,11.0,TC,3,
1398866,3031561,89816ExplorationSIRC005,SIRC005,11.0,12.0,TC,3,
1398867,3031561,89816ExplorationSIRC005,SIRC005,12.0,13.0,TC,3,
1398868,3031561,89816ExplorationSIRC005,SIRC005,13.0,14.0,TC,3,
1398869,3031561,89816ExplorationSIRC005,SIRC005,14.0,15.0,P,3,
1398870,3031561,89816ExplorationSIRC005,SIRC005,15.0,16.0,P,4,
1398871,3031561,89816ExplorationSIRC005,SIRC005,16.0,17.0,LM,4,
1398872,3031561,89816ExplorationSIRC005,SIRC005,17.0,18.0,P,4,
1398873,3031561,89816ExplorationSIRC005,SIRC005,18.0,19.0,P,4,
1398874,3031561,89816ExplorationSIRC005,SIRC005,19.0,20.0,P,4,
1398875,3031561,89816ExplorationSIRC005,SIRC005,20.0,21.0,LM,4,
1398876,3031561,89816ExplorationSIRC005,SIRC005,21.0,22.0,LM,4,
1398877,3031561,89816ExplorationSIRC005,SIRC005,22.0,23.0,P,4,
1398878,3031561,89816ExplorationSIRC005,SIRC005,23.0,24.0,LM,4,
1398879,3031561,89816ExplorationSIRC005,SIRC005,24.0,25.0,P,4,
1398880,3031561,89816ExplorationSIRC005,SIRC005,25.0,26.0,LM,4,
1398881,3031561,89816ExplorationSIRC005,SIRC005,26.0,27.0,LM,4,
1398882,3031561,89816ExplorationSIRC005,SIRC005,27.0,28.0,LM,4,
1398883,3031561,89816ExplorationSIRC005,SIRC005,28.0,29.0,LM,4,
1398884,3031561,89816ExplorationSIRC005,SIRC005,29.0,30.0,LM,4,
1398885,3031561,89816ExplorationSIRC005,SIRC005,30.0,31.0,P,4,
1398886,3031561,89816ExplorationSIRC005,SIRC005,31.0,32.0,GO,2,
1398887,3031561,89816ExplorationSIRC005,SIRC005,32.0,33.0,GO,2,
1398888,3031561,89816ExplorationSIRC005,SIRC005,33.0,34.0,P,2,
1398889,3031561,89816ExplorationSIRC005,SIRC005,34.0,35.0,GO,2,
1398890,3031561,89816ExplorationSIRC005,SIRC005,35.0,36.0,P,4,
1398891,3031561,89816ExplorationSIRC005,SIRC005,36.0,37.0,P,4,
1398892,3031561,89816ExplorationSIRC005,SIRC005,37.0,38.0,P,4,
1398893,3031561,89816ExplorationSIRC005,SIRC005,38.0,39.0,P,4,
1398894,3031561,89816ExplorationSIRC005,SIRC005,39.0,40.0,LM,4,
1398895,3031561,89816ExplorationSIRC005,SIRC005,40.0,41.0,LM,4,
1398896,3031561,89816ExplorationSIRC005,SIRC005,41.0,42.0,LM,4,
1398897,3031561,89816ExplorationSIRC005,SIRC005,42.0,43.0,LM,4,
1398898,3031561,89816ExplorationSIRC005,SIRC005,43.0,44.0,LM,4,
1398899,3031561,89816ExplorationSIRC005,SIRC005,44.0,45.0,LM,4,
1398900,3031561,89816ExplorationSIRC005,SIRC005,45.0,46.0,LM,4,
1398901,3031561,89816ExplorationSIRC005,SIRC005,46.0,47.0,LM,4,
1398902,3031561,89816ExplorationSIRC005,SIRC005,47.0,48.0,LM,4,
1398903,3031561,89816ExplorationSIRC005,SIRC005,48.0,49.0,LM,4,
1398904,3031561,89816ExplorationSIRC005,SIRC005,49.0,50.0,LM,4,
1398905,3031561,89816ExplorationSIRC005,SIRC005,50.0,51.0,LM,4,
1398906,3031561,89816ExplorationSIRC005,SIRC005,51.0,52.0,P,3,
1398907,3031561,89816ExplorationSIRC005,SIRC005,52.0,53.0,P,2,
1398908,3031561,89816ExplorationSIRC005,SIRC005,53.0,54.0,P,2,
1398909,3031561,89816ExplorationSIRC005,SIRC005,54.0,55.0,GO,2,
1398910,3031561,89816ExplorationSIRC005,SIRC005,55.0,56.0,GO,2,
1398911,3031561,89816ExplorationSIRC005,SIRC005,56.0,57.0,GO,2,
1398912,3031561,89816ExplorationSIRC005,SIRC005,57.0,58.0,GO,2,
1398913,3031561,89816ExplorationSIRC005,SIRC005,58.0,59.0,P,2,
1398914,3031561,89816ExplorationSIRC005,SIRC005,59.0,60.0,GO,2,
1398915,3031561,89816ExplorationSIRC005,SIRC005,61.0,62.0,GO,1,
1398916,3031561,89816ExplorationSIRC005,SIRC005,62.0,63.0,GO,2,
1398917,3031561,89816ExplorationSIRC005,SIRC005,63.0,64.0,GO,2,
1398918,3031561,89816ExplorationSIRC005,SIRC005,64.0,65.0,P,2,
1398919,3031561,89816ExplorationSIRC005,SIRC005,65.0,66.0,GO,2,
1398920,3031561,89816ExplorationSIRC005,SIRC005,66.0,67.0,GO,2,
1398921,3031561,89816ExplorationSIRC005,SIRC005,67.0,68.0,P,2,
1398922,3031561,89816ExplorationSIRC005,SIRC005,68.0,69.0,GO,1,
1398923,3031561,89816ExplorationSIRC005,SIRC005,69.0,70.0,GO,1,
1398924,3031561,89816ExplorationSIRC005,SIRC005,70.0,71.0,P,1,
1398925,3031561,89816ExplorationSIRC005,SIRC005,71.0,72.0,GO,1,
1398926,3031561,89816ExplorationSIRC005,SIRC005,72.0,73.0,GO,1,
1398927,3031561,89816ExplorationSIRC005,SIRC005,73.0,74.0,GO,1,
1398928,3031561,89816ExplorationSIRC005,SIRC005,74.0,75.0,GO,1,
1398929,3031561,89816ExplorationSIRC005,SIRC005,75.0,76.0,GO,1,
1398930,3031561,89816ExplorationSIRC005,SIRC005,76.0,77.0,D,1,
1398931,3031561,89816ExplorationSIRC005,SIRC005,85.0,86.0,PY,2,
1398932,3031561,89816ExplorationSIRC005,SIRC005,86.0,87.0,PY,2,
1398933,3031561,89816ExplorationSIRC005,SIRC005,87.0,88.0,PY,2,
1398934,3031561,89816ExplorationSIRC005,SIRC005,88.0,89.0,PY,2,
1398935,3031561,89816ExplorationSIRC005,SIRC005,89.0,90.0,PY,2,
1398936,3031561,89816ExplorationSIRC005,SIRC005,90.0,91.0,PY,1,
1398937,3031561,89816ExplorationSIRC005,SIRC005,91.0,92.0,D,1,
1398938,3031561,89816ExplorationSIRC005,SIRC005,92.0,93.0,D,1,
1398939,3031561,89816ExplorationSIRC005,SIRC005,93.0,94.0,D,1,
1398940,3031561,89816ExplorationSIRC005,SIRC005,94.0,95.0,D,1,
1398941,3031561,89816ExplorationSIRC005,SIRC005,95.0,96.0,D,1,
1398942,3031561,89816ExplorationSIRC005,SIRC005,96.0,97.0,D,1,
1398943,3031561,89816ExplorationSIRC005,SIRC005,97.0,98.0,PY,1,
1398944,3031561,89816ExplorationSIRC005,SIRC005,98.0,99.0,D,1,
1398945,3031561,89816ExplorationSIRC005,SIRC005,99.0,100.0,PY,1,
1398946,3031561,89816ExplorationSIRC005,SIRC005,100.0,101.0,PY,1,
1398947,3031561,89816ExplorationSIRC005,SIRC005,101.0,102.0,PY,1,
1398948,3031561,89816ExplorationSIRC005,SIRC005,102.0,103.0,PY,1,
1398949,3031562,89816ExplorationSIRC006,SIRC006,2.0,3.0,D,2,
1398950,3031562,89816ExplorationSIRC006,SIRC006,3.0,4.0,P,2,
1398951,3031562,89816ExplorationSIRC006,SIRC006,4.0,5.0,LM,2,
1398952,3031562,89816ExplorationSIRC006,SIRC006,5.0,6.0,LM,1,
1398953,3031562,89816ExplorationSIRC006,SIRC006,6.0,7.0,LM,1,
1398954,3031562,89816ExplorationSIRC006,SIRC006,7.0,8.0,D,2,
1398955,3031562,89816ExplorationSIRC006,SIRC006,8.0,9.0,GO,2,
1398956,3031562,89816ExplorationSIRC006,SIRC006,9.0,10.0,GO,2,
1398957,3031562,89816ExplorationSIRC006,SIRC006,10.0,11.0,D,2,
1398958,3031562,89816ExplorationSIRC006,SIRC006,11.0,12.0,GO,2,
1398959,3031562,89816ExplorationSIRC006,SIRC006,12.0,13.0,GO,1,
1398960,3031562,89816ExplorationSIRC006,SIRC006,13.0,14.0,GO,1,
1398961,3031562,89816ExplorationSIRC006,SIRC006,14.0,15.0,GO,1,
1398962,3031562,89816ExplorationSIRC006,SIRC006,15.0,16.0,GO,2,
1398963,3031562,89816ExplorationSIRC006,SIRC006,16.0,17.0,P,3,
1398964,3031562,89816ExplorationSIRC006,SIRC006,17.0,18.0,GO,3,
1398965,3031562,89816ExplorationSIRC006,SIRC006,18.0,19.0,GO,3,
1398966,3031562,89816ExplorationSIRC006,SIRC006,19.0,20.0,P,3,
1398967,3031562,89816ExplorationSIRC006,SIRC006,20.0,21.0,TC,1,
1398968,3031562,89816ExplorationSIRC006,SIRC006,21.0,22.0,P,1,
1398969,3031562,89816ExplorationSIRC006,SIRC006,22.0,23.0,TC,1,
1398970,3031562,89816ExplorationSIRC006,SIRC006,23.0,24.0,TC,1,
1398971,3031562,89816ExplorationSIRC006,SIRC006,24.0,25.0,P,1,
1398972,3031562,89816ExplorationSIRC006,SIRC006,25.0,26.0,TC,1,
1398973,3031562,89816ExplorationSIRC006,SIRC006,26.0,27.0,P,2,
1398974,3031562,89816ExplorationSIRC006,SIRC006,27.0,28.0,P,2,
1398975,3031562,89816ExplorationSIRC006,SIRC006,28.0,29.0,TC,2,
1398976,3031562,89816ExplorationSIRC006,SIRC006,29.0,30.0,TC,2,
1398977,3031562,89816ExplorationSIRC006,SIRC006,30.0,31.0,TC,2,
1398978,3031562,89816ExplorationSIRC006,SIRC006,31.0,32.0,TC,2,
1398979,3031562,89816ExplorationSIRC006,SIRC006,32.0,33.0,P,2,
1398980,3031562,89816ExplorationSIRC006,SIRC006,33.0,34.0,P,2,
1398981,3031562,89816ExplorationSIRC006,SIRC006,34.0,35.0,TC,3,
1398982,3031562,89816ExplorationSIRC006,SIRC006,35.0,36.0,P,3,
1398983,3031562,89816ExplorationSIRC006,SIRC006,36.0,37.0,P,3,
1398984,3031562,89816ExplorationSIRC006,SIRC006,37.0,38.0,P,3,
1398985,3031562,89816ExplorationSIRC006,SIRC006,38.0,39.0,P,3,
1398986,3031562,89816ExplorationSIRC006,SIRC006,39.0,40.0,TC,3,
1398987,3031562,89816ExplorationSIRC006,SIRC006,40.0,41.0,TC,3,
1398988,3031562,89816ExplorationSIRC006,SIRC006,41.0,42.0,TC,3,
1398989,3031562,89816ExplorationSIRC006,SIRC006,42.0,43.0,TC,3,
1398990,3031562,89816ExplorationSIRC006,SIRC006,43.0,44.0,TC,3,
1398991,3031562,89816ExplorationSIRC006,SIRC006,44.0,45.0,TC,3,
1398992,3031562,89816ExplorationSIRC006,SIRC006,45.0,46.0,TC,1,
1398993,3031562,89816ExplorationSIRC006,SIRC006,46.0,47.0,TC,1,
1398994,3031562,89816ExplorationSIRC006,SIRC006,47.0,48.0,TC,2,
1398995,3031562,89816ExplorationSIRC006,SIRC006,48.0,49.0,TC,2,
1398996,3031562,89816ExplorationSIRC006,SIRC006,49.0,50.0,TC,2,
1398997,3031562,89816ExplorationSIRC006,SIRC006,50.0,51.0,TC,2,
1398998,3031562,89816ExplorationSIRC006,SIRC006,51.0,52.0,TC,2,
1398999,3031562,89816ExplorationSIRC006,SIRC006,52.0,53.0,TC,2,
1399000,3031562,89816ExplorationSIRC006,SIRC006,53.0,54.0,TC,2,
1399001,3031562,89816ExplorationSIRC006,SIRC006,54.0,55.0,TC,2,
1399002,3031562,89816ExplorationSIRC006,SIRC006,55.0,56.0,TC,2,
1399003,3031562,89816ExplorationSIRC006,SIRC006,56.0,57.0,TC,2,
1399004,3031562,89816ExplorationSIRC006,SIRC006,57.0,58.0,TC,2,
1399005,3031562,89816ExplorationSIRC006,SIRC006,58.0,59.0,P,2,
1399006,3031562,89816ExplorationSIRC006,SIRC006,59.0,60.0,P,2,
1399007,3031562,89816ExplorationSIRC006,SIRC006,60.0,61.0,TC,1,
1399008,3031562,89816ExplorationSIRC006,SIRC006,61.0,62.0,P,1,
1399009,3031562,89816ExplorationSIRC006,SIRC006,62.0,63.0,GO,1,
1399010,3031562,89816ExplorationSIRC006,SIRC006,63.0,64.0,GO,1,
1399011,3031562,89816ExplorationSIRC006,SIRC006,64.0,65.0,GO,1,
1399012,3031562,89816ExplorationSIRC006,SIRC006,65.0,66.0,GO,1,
1399013,3031562,89816ExplorationSIRC006,SIRC006,66.0,67.0,GO,1,
1399014,3031562,89816ExplorationSIRC006,SIRC006,67.0,68.0,GO,1,
1399015,3031562,89816ExplorationSIRC006,SIRC006,68.0,69.0,GO,1,
1399016,3031562,89816ExplorationSIRC006,SIRC006,69.0,70.0,P,1,
1399017,3031562,89816ExplorationSIRC006,SIRC006,70.0,71.0,GO,1,
1399018,3031562,89816ExplorationSIRC006,SIRC006,71.0,72.0,GO,3,
1399019,3031562,89816ExplorationSIRC006,SIRC006,72.0,73.0,GO,3,
1399020,3031562,89816ExplorationSIRC006,SIRC006,73.0,74.0,P,3,
1399021,3031562,89816ExplorationSIRC006,SIRC006,74.0,75.0,GO,2,
1399022,3031562,89816ExplorationSIRC006,SIRC006,75.0,76.0,GO,2,
1399023,3031562,89816ExplorationSIRC006,SIRC006,76.0,77.0,GO,1,
1399024,3031562,89816ExplorationSIRC006,SIRC006,77.0,78.0,GO,1,
1399025,3031562,89816ExplorationSIRC006,SIRC006,78.0,79.0,GO,1,
1399026,3031562,89816ExplorationSIRC006,SIRC006,97.0,98.0,PY,2,
1399027,3031562,89816ExplorationSIRC006,SIRC006,98.0,99.0,D,2,
1399028,3031562,89816ExplorationSIRC006,SIRC006,99.0,100.0,PY,2,
1399029,3031562,89816ExplorationSIRC006,SIRC006,100.0,101.0,D,2,
1399030,3031562,89816ExplorationSIRC006,SIRC006,101.0,102.0,D,2,
1399031,3031562,89816ExplorationSIRC006,SIRC006,102.0,103.0,PY,2,
1399032,3031562,89816ExplorationSIRC006,SIRC006,103.0,104.0,D,2,
1399033,3031562,89816ExplorationSIRC006,SIRC006,104.0,105.0,PY,2,
1399034,3031562,89816ExplorationSIRC006,SIRC006,105.0,106.0,PY,2,
1399035,3031562,89816ExplorationSIRC006,SIRC006,106.0,107.0,D,2,
1399036,3031562,89816ExplorationSIRC006,SIRC006,107.0,108.0,D,2,
1399037,3031562,89816ExplorationSIRC006,SIRC006,108.0,109.0,PY,2,
1399038,3031562,89816ExplorationSIRC006,SIRC006,109.0,110.0,PY,2,
1399039,3031562,89816ExplorationSIRC006,SIRC006,110.0,111.0,PY,2,
1399040,3031562,89816ExplorationSIRC006,SIRC006,111.0,112.0,PY,2,
1399041,3031562,89816ExplorationSIRC006,SIRC006,112.0,113.0,PY,2,
1399042,3031562,89816ExplorationSIRC006,SIRC006,113.0,114.0,PY,2,
1399043,3031562,89816ExplorationSIRC006,SIRC006,114.0,115.0,PY,2,
1399044,3031562,89816ExplorationSIRC006,SIRC006,115.0,116.0,D,2,
1399045,3031562,89816ExplorationSIRC006,SIRC006,116.0,117.0,D,2,
1399046,3031562,89816ExplorationSIRC006,SIRC006,117.0,118.0,D,2,
1399047,3031562,89816ExplorationSIRC006,SIRC006,118.0,119.0,D,2,
1399048,3031562,89816ExplorationSIRC006,SIRC006,119.0,120.0,D,2,
1399049,3031562,89816ExplorationSIRC006,SIRC006,124.0,125.0,D,1,
1399050,3031562,89816ExplorationSIRC006,SIRC006,126.0,127.0,PY,4,
