Company_ID,CollarID,FromDepth,ToDepth,Company_LithoCode,Company_Litho,CET_Litho,Score,
3050,1146530,193.3,197.7,As,syenite,syenite,101,
3050,1146530,197.7,198.7,Tx,tectonic breccia cataclasite brittle fault,fault,101,
3050,1146530,197.7,198.7,Tx,tectonic breccia cataclasite brittle fault,fault,101,
3050,1146530,197.7,198.7,Tx,tectonic breccia cataclasite brittle fault,fault,101,
3050,1146530,198.7,200.8,Tm,mylonite ductile shear zone,mylonite,100,
3050,1146530,198.7,200.8,Tm,mylonite ductile shear zone,mylonite,100,
3050,1146530,198.7,200.8,Tm,mylonite ductile shear zone,mylonite,100,
3050,1146530,200.8,202.3,Tm,mylonite ductile shear zone,mylonite,100,
3050,1146530,200.8,202.3,Tm,mylonite ductile shear zone,mylonite,100,
3050,1146530,200.8,202.3,Tm,mylonite ductile shear zone,mylonite,100,
3050,1146530,202.3,203.7,Tx,tectonic breccia cataclasite brittle fault,fault,101,
3050,1146530,202.3,203.7,Tx,tectonic breccia cataclasite brittle fault,fault,101,
3050,1146530,202.3,203.7,Tx,tectonic breccia cataclasite brittle fault,fault,101,
3050,1146530,203.7,204.9,V,Vein,vein,101,
3050,1146530,203.7,204.9,V,Vein,vein,101,
3050,1146530,203.7,204.9,V,Vein,vein,101,
3050,1146530,204.9,206.4,Tx,tectonic breccia cataclasite brittle fault,fault,101,
3050,1146530,204.9,206.4,Tx,tectonic breccia cataclasite brittle fault,fault,101,
3050,1146530,204.9,206.4,Tx,tectonic breccia cataclasite brittle fault,fault,101,
3050,1146531,17,22,Ac,carbonatite,carbonatite,101,
3050,1146531,17,22,Ac,carbonatite,carbonatite,101,
3050,1146531,17,22,Ac,carbonatite,carbonatite,101,
3050,1146531,22,23,Ac,carbonatite,carbonatite,101,
3050,1146531,22,23,Ac,carbonatite,carbonatite,101,
3050,1146531,22,23,Ac,carbonatite,carbonatite,101,
3050,1146531,23,24,Ac,carbonatite,carbonatite,101,
3050,1146531,23,24,Ac,carbonatite,carbonatite,101,
3050,1146531,23,24,Ac,carbonatite,carbonatite,101,
3050,1146531,24,25,Ac,carbonatite,carbonatite,101,
3050,1146531,24,25,Ac,carbonatite,carbonatite,101,
3050,1146531,24,25,Ac,carbonatite,carbonatite,101,
3050,1146531,25,29,Ac,carbonatite,carbonatite,101,
3050,1146531,25,29,Ac,carbonatite,carbonatite,101,
3050,1146531,25,29,Ac,carbonatite,carbonatite,101,
3050,1146531,29,31,Ac,carbonatite,carbonatite,101,
3050,1146531,29,31,Ac,carbonatite,carbonatite,101,
3050,1146531,29,31,Ac,carbonatite,carbonatite,101,
3050,1146531,31,33,Ac,carbonatite,carbonatite,101,
3050,1146531,31,33,Ac,carbonatite,carbonatite,101,
3050,1146531,31,33,Ac,carbonatite,carbonatite,101,
3050,1146531,272.7,275,Tx,tectonic breccia cataclasite brittle fault,fault,101,
3050,1146531,272.7,275,Tx,tectonic breccia cataclasite brittle fault,fault,101,
3050,1146531,272.7,275,Tx,tectonic breccia cataclasite brittle fault,fault,101,
3050,1146531,369.1,377.6,Tx,tectonic breccia cataclasite brittle fault,fault,101,
3050,1146531,369.1,377.6,Tx,tectonic breccia cataclasite brittle fault,fault,101,
3050,1146531,369.1,377.6,Tx,tectonic breccia cataclasite brittle fault,fault,101,
3050,1146531,430.1,433.1,Tx,tectonic breccia cataclasite brittle fault,fault,101,
3050,1146531,430.1,433.1,Tx,tectonic breccia cataclasite brittle fault,fault,101,
3050,1146531,430.1,433.1,Tx,tectonic breccia cataclasite brittle fault,fault,101,
3050,1146531,436.8,441.5,Tx,tectonic breccia cataclasite brittle fault,fault,101,
3050,1146531,436.8,441.5,Tx,tectonic breccia cataclasite brittle fault,fault,101,
3050,1146531,436.8,441.5,Tx,tectonic breccia cataclasite brittle fault,fault,101,
3050,1146650,35,36,Ac,carbonatite,carbonatite,101,
3050,1146650,35,36,Ac,carbonatite,carbonatite,101,
3050,1146650,35,36,Ac,carbonatite,carbonatite,101,
3050,1146650,36,39,Ac,carbonatite,carbonatite,101,
3050,1146650,36,39,Ac,carbonatite,carbonatite,101,
3050,1146650,36,39,Ac,carbonatite,carbonatite,101,
3050,1146650,39,40,Ac,carbonatite,carbonatite,101,
3050,1146650,39,40,Ac,carbonatite,carbonatite,101,
3050,1146650,39,40,Ac,carbonatite,carbonatite,101,
3050,1146650,40,41,Ac,carbonatite,carbonatite,101,
3050,1146650,40,41,Ac,carbonatite,carbonatite,101,
3050,1146650,40,41,Ac,carbonatite,carbonatite,101,
3050,1146650,41,42,V,Vein,vein,101,
